group,method,display_method,scope,comparable,evaluation_split,category,category_label,n,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10
KG / Structured Retrieval Baselines,RRF_compact,RRF_compact,sample-scoped,True,all,3,Open-Domain,92,0.2923007246376812,0.1956521739130435,0.42391304347826086,0.5217391304347826,0.3934889173060528,0.2893485273956424
Ablation,ZScore-Raw,ZScore-Raw,sample-scoped,True,test,4,Single-Hop,612,0.5371206816059754,0.3937908496732026,0.7271241830065359,0.826797385620915,0.8216230936819173,0.604171082725871
Ablation,ZScore-Raw,ZScore-Raw,sample-scoped,True,test,1,Multi-Hop,224,0.41501913265306134,0.26785714285714285,0.6160714285714286,0.7366071428571429,0.4558286696855775,0.35518859232461863
Ablation,ZScore-Raw,ZScore-Raw,sample-scoped,True,test,2,Temporal,239,0.5939596201102475,0.4811715481171548,0.7364016736401674,0.8158995815899581,0.7887029288702928,0.6301785090909787
Ablation,ZScore-Raw,ZScore-Raw,sample-scoped,True,test,3,Open-Domain,71,0.30604180639391904,0.22535211267605634,0.4225352112676056,0.5070422535211268,0.36902789284727977,0.280145285344544
Ablation,ZScore-Raw,ZScore-Raw,sample-scoped,True,all,4,Single-Hop,841,0.5270308400807802,0.3912009512485137,0.7158145065398336,0.8026159334126041,0.7913198573127229,0.5868369850067245
Ablation,ZScore-Raw,ZScore-Raw,sample-scoped,True,all,1,Multi-Hop,282,0.42460458178543276,0.2801418439716312,0.624113475177305,0.7411347517730497,0.44703670981666505,0.35434642997448856
Ablation,ZScore-Raw,ZScore-Raw,sample-scoped,True,all,2,Temporal,321,0.5827300598328634,0.4766355140186916,0.719626168224299,0.7850467289719626,0.7637590861889927,0.617467942268974
Ablation,ZScore-Raw,ZScore-Raw,sample-scoped,True,all,3,Open-Domain,92,0.2996808143547273,0.21739130434782608,0.42391304347826086,0.5217391304347826,0.3934889173060529,0.2876031845712515
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,test,4,Single-Hop,612,0.5783509700176366,0.44281045751633985,0.7581699346405228,0.8545751633986928,0.8502178649237473,0.6419917180345237
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,test,1,Multi-Hop,224,0.449516369047619,0.29910714285714285,0.6383928571428571,0.78125,0.4840470697848517,0.38217852625122284
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,test,2,Temporal,239,0.6417065152420798,0.5523012552301255,0.7656903765690377,0.8200836820083682,0.799163179916318,0.6689466957055761
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,test,3,Open-Domain,71,0.3110719874804382,0.22535211267605634,0.39436619718309857,0.5211267605633803,0.39250207125103564,0.2970786990880725
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,all,4,Single-Hop,841,0.5702607440122299,0.4399524375743163,0.751486325802616,0.8323424494649228,0.821640903686088,0.6264736878141562
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,all,1,Multi-Hop,282,0.4525160418777438,0.30141843971631205,0.6418439716312057,0.776595744680851,0.47121874641471506,0.3769760927426115
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,all,2,Temporal,321,0.6341937398012163,0.5482866043613707,0.7570093457943925,0.8068535825545171,0.7871235721703012,0.6628443200989617
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,all,3,Open-Domain,92,0.31687801932367154,0.22826086956521738,0.42391304347826086,0.5217391304347826,0.4007352941176471,0.3074847422814311
