group,method,display_method,scope,comparable,query_id,category,category_label,split,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10,gold_count,retrieved_gold_count
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_63,2,Temporal,test,1.0,1.0,1.0,1.0,1.0,0.8772153153380493,2.0,2.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_64,3,Open-Domain,test,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_65,4,Single-Hop,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_66,4,Single-Hop,test,0.14285714285714285,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_67,4,Single-Hop,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_68,4,Single-Hop,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_69,4,Single-Hop,test,0.5,0.0,1.0,1.0,1.0,0.6309297535714575,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_70,4,Single-Hop,test,0.3333333333333333,0.0,1.0,1.0,1.0,0.5,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_71,4,Single-Hop,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_72,4,Single-Hop,test,0.5,0.0,1.0,1.0,1.0,0.6309297535714575,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_73,4,Single-Hop,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_74,4,Single-Hop,test,0.25,0.0,1.0,1.0,1.0,0.43067655807339306,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_75,4,Single-Hop,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_76,4,Single-Hop,test,0.2,0.0,1.0,1.0,1.0,0.38685280723454163,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_77,4,Single-Hop,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_78,4,Single-Hop,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
