kind,cell,repetition,update_rate_s,op_id,queue_wait_ms,backend_read_call_ms,worker_read_ms,arrival_to_read_done_ms,candidate_count,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms
read,cassandra-materialized,1,10.0,r1_measured_02969,0.7214,9.8625,13.3974,14.1188,678,2.2392,0.7395,0.4646
read,cassandra-materialized,1,10.0,r1_measured_01480,0.0941,15.1236,17.3693,17.4634,369,1.5125,0.2947,0.3761
read,cassandra-materialized,1,10.0,r1_measured_02632,0.1326,10.1357,13.4062,13.5388,672,2.2593,0.541,0.3954
read,cassandra-materialized,1,10.0,r1_measured_02188,0.5458,28.3489,43.6997,44.2455,627,14.41,0.5032,0.3736
read,cassandra-materialized,1,10.0,r1_measured_01990,0.9754,13.4015,17.1054,18.0808,419,2.9345,0.3219,0.3874
read,cassandra-materialized,1,10.0,r1_measured_02503,0.1099,7.7069,11.9404,12.0503,369,3.5276,0.2662,0.3835
read,cassandra-materialized,1,10.0,r1_measured_02847,0.1271,7.1866,11.0806,11.2077,566,2.7944,0.5338,0.4881
read,cassandra-materialized,1,10.0,r1_measured_01913,0.1586,19.1369,28.1919,28.3505,679,4.6885,3.8288,0.4645
read,cassandra-materialized,1,10.0,r1_measured_01446,1.4299,23.2201,37.4802,38.9101,671,13.1161,0.7156,0.3546
read,cassandra-materialized,1,10.0,r1_measured_01725,0.3427,3.0902,4.6117,4.9544,566,0.665,0.4455,0.3536
read,cassandra-materialized,1,10.0,r1_measured_02304,0.1754,23.8192,45.5167,45.6921,680,19.7861,1.4829,0.3533
read,cassandra-materialized,1,10.0,r1_measured_02133,0.8554,11.4289,16.1404,16.9958,417,4.0265,0.2655,0.3603
read,cassandra-materialized,1,10.0,r1_measured_02033,0.9107,23.7782,39.2663,40.177,662,12.9412,2.0693,0.3956
read,cassandra-materialized,1,10.0,r1_measured_02600,0.4788,7.3764,11.3014,11.7802,680,2.0623,1.3672,0.4077
read,cassandra-materialized,1,10.0,r1_measured_02577,0.2678,16.5064,39.4944,39.7622,567,18.8867,3.6999,0.3344
read,cassandra-materialized,1,10.0,r1_measured_02545,0.2366,5.8575,10.2987,10.5353,661,3.4717,0.5274,0.3735
read,cassandra-materialized,1,10.0,r1_measured_01935,1.037,9.0472,12.0869,13.1239,566,1.8687,0.7145,0.3869
read,cassandra-materialized,1,10.0,r1_measured_01796,0.1204,5.6106,13.3635,13.4839,567,6.6565,0.5426,0.4714
read,cassandra-materialized,1,10.0,r1_measured_02544,0.0499,5.3119,15.2304,15.2803,567,8.7212,0.7641,0.366
read,cassandra-materialized,1,10.0,r1_measured_02474,2.5864,15.177,44.8768,47.4632,688,28.1144,1.069,0.4414
read,cassandra-materialized,1,10.0,r1_measured_02001,1.7023,12.5081,55.8559,57.5582,566,41.858,0.9298,0.4721
read,cassandra-materialized,1,10.0,r1_measured_01605,0.2042,7.7479,12.7555,12.9597,567,4.0761,0.5144,0.353
read,cassandra-materialized,1,10.0,r1_measured_02227,0.2545,15.6182,33.4943,33.7488,621,16.6884,0.7103,0.4036
read,cassandra-materialized,1,10.0,r1_measured_02980,0.0514,23.7195,28.7875,28.8389,680,3.8235,0.7274,0.4304
read,cassandra-materialized,1,10.0,r1_measured_02678,4.2852,21.7555,41.5108,45.796,509,14.3567,4.9841,0.3486
read,cassandra-materialized,1,10.0,r1_measured_02175,0.5085,36.1373,42.8655,43.374,681,5.3418,0.9026,0.3995
read,cassandra-materialized,1,10.0,r1_measured_01879,1.3259,14.8107,43.814,45.1399,688,28.0071,0.5779,0.3497
read,cassandra-materialized,1,10.0,r1_measured_02968,0.2522,9.3916,18.7498,19.002,662,6.7848,2.1032,0.3965
read,cassandra-materialized,1,10.0,r1_measured_01831,0.0748,8.7049,10.5936,10.6684,415,1.1127,0.3637,0.3509
read,cassandra-materialized,1,10.0,r1_measured_02714,0.1243,12.2288,23.7199,23.8442,662,10.4483,0.5696,0.3985
read,cassandra-materialized,1,10.0,r1_measured_02297,1.2983,21.7099,33.2803,34.5786,662,9.3022,1.7808,0.4044
read,cassandra-materialized,1,10.0,r1_measured_01858,0.171,13.9521,26.4881,26.6591,680,11.3609,0.7274,0.3663
read,cassandra-materialized,1,10.0,r1_measured_02739,0.1506,6.2891,7.5932,7.7438,369,0.6005,0.254,0.3923
read,cassandra-materialized,1,10.0,r1_measured_01590,0.1649,10.5863,20.448,20.6129,689,6.154,3.0244,0.5232
read,cassandra-materialized,1,10.0,r1_measured_01596,1.6474,18.32,25.7034,27.3508,628,5.2553,1.603,0.4384
read,cassandra-materialized,1,10.0,r1_measured_02436,0.0868,8.1826,11.1805,11.2673,506,1.4018,1.2101,0.3319
read,cassandra-materialized,1,10.0,r1_measured_02502,2.2715,9.4646,15.0303,17.3018,417,4.8326,0.2883,0.3859
read,cassandra-materialized,1,10.0,r1_measured_01899,0.0867,8.3357,17.8196,17.9063,509,8.5755,0.4807,0.3646
read,cassandra-materialized,1,10.0,r1_measured_02385,0.2309,14.3433,49.8698,50.1007,680,34.0985,0.861,0.4854
read,cassandra-materialized,1,10.0,r1_measured_02126,0.0857,26.5872,31.7108,31.7965,418,4.359,0.3056,0.3885
read,cassandra-materialized,1,10.0,r1_measured_02877,0.0466,3.7394,5.2548,5.3014,418,0.6677,0.3236,0.4565
read,cassandra-materialized,1,10.0,r1_measured_02797,0.1829,53.3413,67.3605,67.5434,689,12.9578,0.6146,0.376
read,cassandra-materialized,1,10.0,r1_measured_02659,1.4804,6.3024,7.948,9.4284,418,0.9734,0.2472,0.3694
read,cassandra-materialized,1,10.0,r1_measured_02641,0.1241,6.3537,13.9425,14.0666,689,6.2924,0.7916,0.4258
read,cassandra-materialized,1,10.0,r1_measured_02281,2.4192,13.9736,39.2696,41.6888,689,22.5673,2.2072,0.4395
read,cassandra-materialized,1,10.0,r1_measured_01417,0.0428,14.938,18.8422,18.885,672,2.331,1.1845,0.321
read,cassandra-materialized,1,10.0,r1_measured_01855,1.7097,24.8627,38.9179,40.6276,566,13.0016,0.5842,0.3916
read,cassandra-materialized,1,10.0,r1_measured_02063,2.7745,21.7033,51.8986,54.6731,680,29.1648,0.556,0.3784
read,cassandra-materialized,1,10.0,r1_measured_02962,0.6456,5.5172,7.454,8.0996,673,0.7238,0.7811,0.3629
read,cassandra-materialized,1,10.0,r1_measured_02958,0.1079,13.6485,15.666,15.7739,417,1.3057,0.3069,0.3485
read,cassandra-materialized,1,10.0,r1_measured_02531,0.9041,5.393,13.3898,14.2939,661,7.0798,0.5003,0.3506
read,cassandra-materialized,1,10.0,r1_measured_02280,2.0032,16.8945,22.7345,24.7377,678,2.6848,2.6396,0.4454
read,cassandra-materialized,1,10.0,r1_measured_01457,0.0647,7.3478,48.7362,48.8009,628,39.9781,0.8202,0.5035
read,cassandra-materialized,1,10.0,r1_measured_02164,2.7349,7.5595,34.6083,37.3432,507,24.6287,1.4344,0.8751
read,cassandra-materialized,1,10.0,r1_measured_02064,2.9208,5.2986,10.2547,13.1755,567,3.7338,0.7639,0.3601
read,cassandra-materialized,1,10.0,r1_measured_01671,0.0781,5.6939,12.8445,12.9226,688,0.9044,5.7517,0.4205
read,cassandra-materialized,1,10.0,r1_measured_01863,0.7934,11.2604,18.5394,19.3328,680,6.1477,0.648,0.3987
read,cassandra-materialized,1,10.0,r1_measured_02284,3.5156,12.0098,56.1824,59.698,680,39.2843,4.4152,0.3907
read,cassandra-materialized,1,10.0,r1_measured_02287,3.8223,14.5787,60.7178,64.5401,679,44.8834,0.7883,0.3878
read,cassandra-materialized,1,10.0,r1_measured_02507,0.1036,12.2829,16.994,17.0976,567,3.6874,0.5942,0.3663
read,cassandra-materialized,1,10.0,r1_measured_02138,0.922,4.1373,5.551,6.473,416,0.6822,0.2909,0.3782
read,cassandra-materialized,1,10.0,r1_measured_01613,0.3113,15.1768,27.3794,27.6907,627,11.1267,0.556,0.4415
read,cassandra-materialized,1,10.0,r1_measured_01486,0.906,5.0914,6.9027,7.8087,509,0.9239,0.4459,0.3808
read,cassandra-materialized,1,10.0,r1_measured_02824,0.7974,6.77,9.1076,9.905,506,1.4676,0.4401,0.3728
read,cassandra-materialized,1,10.0,r1_measured_01587,0.0435,12.5409,15.9014,15.9449,661,2.3465,0.6067,0.3409
read,cassandra-materialized,1,10.0,r1_measured_02937,0.0808,24.6339,44.5207,44.6015,678,16.8931,2.5436,0.3596
read,cassandra-materialized,1,10.0,r1_measured_02817,2.6537,20.094,29.1925,31.8462,567,7.481,1.1796,0.3712
read,cassandra-materialized,1,10.0,r1_measured_02846,0.5791,6.6206,12.776,13.3551,661,4.9976,0.6705,0.4159
read,cassandra-materialized,1,10.0,r1_measured_02442,0.3381,17.2442,20.1883,20.5264,419,2.1646,0.3192,0.3931
read,cassandra-materialized,1,10.0,r1_measured_01612,7.3323,15.0987,18.3721,25.7044,416,2.4986,0.3021,0.3992
read,cassandra-materialized,1,10.0,r1_measured_02078,0.6261,21.2262,48.9698,49.5959,568,26.1426,1.11,0.4177
read,cassandra-materialized,1,10.0,r1_measured_01408,0.0982,8.3812,12.066,12.1642,673,2.4714,0.7847,0.3531
read,cassandra-materialized,1,10.0,r1_measured_02285,3.6342,12.4655,52.1959,55.8301,627,33.8642,5.3625,0.4266
read,cassandra-materialized,1,10.0,r1_measured_02044,0.2633,11.2534,44.7589,45.0222,509,32.4807,0.5585,0.3879
read,cassandra-materialized,1,10.0,r1_measured_01611,7.0588,16.0694,32.6933,39.7521,509,15.2084,0.9894,0.3642
read,cassandra-materialized,1,10.0,r1_measured_02648,7.3581,15.5419,25.354,32.7121,688,8.2391,1.0859,0.4078
read,cassandra-materialized,1,10.0,r1_measured_01748,1.4193,25.3338,42.4357,43.855,509,15.5193,1.0405,0.4664
read,cassandra-materialized,1,10.0,r1_measured_02873,0.047,21.1038,23.6845,23.7315,677,1.7245,0.4708,0.3226
read,cassandra-materialized,1,10.0,r1_measured_01609,0.3007,4.3349,6.2689,6.5696,661,0.8961,0.6025,0.3694
read,cassandra-materialized,1,10.0,r1_measured_02576,2.0497,14.4115,19.6411,21.6908,369,4.6212,0.2259,0.321
read,cassandra-materialized,1,10.0,r1_measured_02428,3.2358,9.5148,16.7925,20.0283,663,6.2556,0.5473,0.3999
read,cassandra-materialized,1,10.0,r1_measured_02062,2.4486,20.9048,48.8834,51.332,685,24.1641,3.3763,0.3522
read,cassandra-materialized,1,10.0,r1_measured_01562,1.8687,24.852,36.6305,38.4992,506,9.5735,1.7351,0.4024
read,cassandra-materialized,1,10.0,r1_measured_01588,0.0556,7.6819,14.0687,14.1243,680,5.068,0.8868,0.3596
read,cassandra-materialized,1,10.0,r1_measured_01548,0.1917,14.3894,20.6333,20.825,366,5.5614,0.272,0.3596
read,cassandra-materialized,1,10.0,r1_measured_02059,0.8836,23.2774,51.5875,52.4711,677,25.6334,2.1801,0.4026
read,cassandra-materialized,1,10.0,r1_measured_01760,0.1245,19.2142,57.6617,57.7862,661,36.5671,1.4108,0.3925
read,cassandra-materialized,1,10.0,r1_measured_01862,0.1216,12.7416,22.0368,22.1584,567,7.536,1.2075,0.4516
read,cassandra-materialized,1,10.0,r1_measured_02833,0.266,9.1648,85.5747,85.8407,679,2.066,0.6594,0.4641
read,cassandra-materialized,1,10.0,r1_measured_02767,0.1511,10.7056,14.3287,14.4798,680,2.5926,0.5382,0.4219
read,cassandra-materialized,1,10.0,r1_measured_02809,1.3522,7.9418,13.0654,14.4176,418,4.4389,0.2748,0.3516
