kind,cell,repetition,update_rate_s,op_id,queue_wait_ms,backend_read_call_ms,worker_read_ms,arrival_to_read_done_ms,candidate_count,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms
read,neo4j-materialized,0,1.0,r0_measured_00564,0.2166,35.3551,38.2158,38.4324,662,1.2047,0.939,0.5915
read,neo4j-materialized,0,1.0,r0_measured_00075,0.1578,26.8386,28.8854,29.0432,626,0.7892,0.7116,0.461
read,neo4j-materialized,0,1.0,r0_measured_00629,0.0637,9.8355,11.0803,11.144,419,0.5407,0.3002,0.3407
read,neo4j-materialized,0,1.0,r0_measured_00256,0.1565,25.894,27.8754,28.0319,626,0.781,0.6634,0.4563
read,neo4j-materialized,0,1.0,r0_measured_00041,0.0451,12.9648,14.4896,14.5347,671,0.5261,0.6173,0.3222
read,neo4j-materialized,0,1.0,r0_measured_00537,0.1754,31.7107,33.8866,34.062,677,0.6598,1.1176,0.3387
read,neo4j-materialized,0,1.0,r0_measured_00499,0.0353,12.4769,13.9689,14.0042,675,0.5806,0.5179,0.3293
read,neo4j-materialized,0,1.0,r0_measured_00454,0.1659,12.3624,13.9287,14.0946,565,0.6148,0.5522,0.3317
read,neo4j-materialized,0,1.0,r0_measured_00123,0.1276,25.5958,27.8649,27.9925,625,0.8686,0.8058,0.4965
read,neo4j-materialized,0,1.0,r0_measured_00628,0.161,18.5529,20.2707,20.4317,623,0.6495,0.6324,0.3413
read,neo4j-materialized,0,1.0,r0_measured_00443,0.0557,12.5702,14.2375,14.2932,670,0.604,0.6369,0.3508
read,neo4j-materialized,0,1.0,r0_measured_00130,0.2371,31.6544,34.3743,34.6114,678,1.0234,1.0725,0.5184
read,neo4j-materialized,0,1.0,r0_measured_00049,0.1945,31.3451,34.617,34.8115,673,1.4654,1.1467,0.5467
read,neo4j-materialized,0,1.0,r0_measured_00783,0.1521,34.8193,38.9158,39.0679,656,2.1397,1.0915,0.7224
read,neo4j-materialized,0,1.0,r0_measured_00567,0.2601,24.3395,26.565,26.8251,617,0.8832,0.8158,0.4392
read,neo4j-materialized,0,1.0,r0_measured_00625,0.1621,31.253,33.4387,33.6008,663,0.8046,0.8438,0.4482
read,neo4j-materialized,0,1.0,r0_measured_00261,0.1111,26.169,27.8233,27.9344,681,0.6205,0.6318,0.3177
read,neo4j-materialized,0,1.0,r0_measured_00623,0.2661,31.7747,35.8362,36.1023,661,1.5091,1.4237,0.9473
read,neo4j-materialized,0,1.0,r0_measured_00242,0.0499,36.2045,38.3262,38.3761,677,1.1649,0.5711,0.3192
read,neo4j-materialized,0,1.0,r0_measured_00236,0.2227,26.2046,27.9006,28.1233,686,0.697,0.5899,0.3379
read,neo4j-materialized,0,1.0,r0_measured_00602,0.1236,90.9013,93.885,94.0086,676,1.2858,1.2089,0.414
read,neo4j-materialized,0,1.0,r0_measured_00291,0.1403,35.6526,38.0813,38.2216,678,1.0372,0.7617,0.526
read,neo4j-materialized,0,1.0,r0_measured_00221,0.182,22.7868,25.8593,26.0413,414,1.2708,0.7346,0.921
read,neo4j-materialized,0,1.0,r0_measured_00698,0.0855,29.8614,31.5313,31.6168,676,0.6501,0.6015,0.344
read,neo4j-materialized,0,1.0,r0_measured_00140,0.1158,11.513,12.7659,12.8817,413,0.5613,0.2918,0.3405
read,neo4j-materialized,0,1.0,r0_measured_00663,0.148,29.8552,34.6832,34.8312,683,1.9509,1.7114,1.0017
read,neo4j-materialized,0,1.0,r0_measured_00407,0.1181,26.0235,29.8331,29.9512,506,1.3499,1.3406,0.93
read,neo4j-materialized,0,1.0,r0_measured_00218,0.1122,8.5836,9.7504,9.8626,413,0.4923,0.2777,0.3391
read,neo4j-materialized,0,1.0,r0_measured_00029,0.1411,32.9664,35.7882,35.9293,660,1.1283,0.9707,0.555
read,neo4j-materialized,0,1.0,r0_measured_00438,0.1489,11.6995,13.3105,13.4594,566,0.5477,0.654,0.3445
read,neo4j-materialized,0,1.0,r0_measured_00200,0.0747,10.3528,11.455,11.5297,364,0.4621,0.2643,0.3192
read,neo4j-materialized,0,1.0,r0_measured_00532,0.1363,26.0289,27.9055,28.0418,681,0.7228,0.7158,0.3628
read,neo4j-materialized,0,1.0,r0_measured_00397,0.1268,18.8299,20.3944,20.5212,669,0.6525,0.5247,0.32
read,neo4j-materialized,0,1.0,r0_measured_00096,0.0806,21.0094,22.3682,22.4488,416,0.5781,0.3278,0.3917
read,neo4j-materialized,0,1.0,r0_measured_00766,0.208,26.6176,28.4681,28.6761,676,0.7383,0.6441,0.3796
read,neo4j-materialized,0,1.0,r0_measured_00562,0.1433,7.2204,8.2398,8.3831,419,0.4397,0.2418,0.2927
read,neo4j-materialized,0,1.0,r0_measured_00392,0.1326,22.8324,25.2118,25.3444,564,0.8575,0.7625,0.665
read,neo4j-materialized,0,1.0,r0_measured_00252,0.0872,19.2156,21.7816,21.8688,663,0.7736,1.1724,0.5353
read,neo4j-materialized,0,1.0,r0_measured_00191,0.1752,14.3926,16.2627,16.4379,624,0.8094,0.609,0.3544
read,neo4j-materialized,0,1.0,r0_measured_00158,0.1011,25.5186,28.2548,28.3559,663,1.0968,1.036,0.491
read,neo4j-materialized,0,1.0,r0_measured_00450,0.1213,21.0056,23.1111,23.2324,368,0.9404,0.4356,0.6298
read,neo4j-materialized,0,1.0,r0_measured_00317,0.187,23.3311,25.43,25.617,676,0.6408,0.8825,0.503
read,neo4j-materialized,0,1.0,r0_measured_00153,0.1741,25.4647,27.3174,27.4915,684,0.784,0.6356,0.3607
read,neo4j-materialized,0,1.0,r0_measured_00076,0.1629,21.8253,23.4602,23.6231,686,0.6375,0.5689,0.3583
read,neo4j-materialized,0,1.0,r0_measured_00755,0.1056,11.8962,13.4541,13.5597,568,0.5561,0.6037,0.3287
read,neo4j-materialized,0,1.0,r0_measured_00642,0.0573,20.8577,22.5716,22.6289,673,0.6566,0.6604,0.3281
read,neo4j-materialized,0,1.0,r0_measured_00204,0.2607,16.9703,18.6833,18.944,663,0.5972,0.7043,0.339
read,neo4j-materialized,0,1.0,r0_measured_00226,0.1322,18.148,19.6292,19.7614,671,0.5601,0.5364,0.3219
read,neo4j-materialized,0,1.0,r0_measured_00199,0.0721,13.1827,14.8515,14.9236,673,0.6926,0.5891,0.3183
read,neo4j-materialized,0,1.0,r0_measured_00033,0.1169,36.06,39.3901,39.507,686,1.3468,1.139,0.7078
read,neo4j-materialized,0,1.0,r0_measured_00012,0.1423,27.7357,29.9702,30.1125,561,0.8257,0.8788,0.4411
read,neo4j-materialized,0,1.0,r0_measured_00668,0.1363,26.4398,28.8379,28.9742,684,1.0386,0.7546,0.5043
read,neo4j-materialized,0,1.0,r0_measured_00101,0.0559,43.9448,45.4417,45.4976,626,0.5657,0.5321,0.3353
read,neo4j-materialized,0,1.0,r0_measured_00065,0.2578,21.8817,23.9534,24.2112,507,0.8262,0.7047,0.4588
read,neo4j-materialized,0,1.0,r0_measured_00263,0.1599,14.9591,16.4436,16.6035,676,0.5844,0.5371,0.305
read,neo4j-materialized,0,1.0,r0_measured_00469,0.1036,24.7206,27.5336,27.6372,677,1.1073,0.9414,0.6405
read,neo4j-materialized,0,1.0,r0_measured_00414,0.0656,11.9968,13.715,13.7806,673,0.7062,0.5754,0.3712
read,neo4j-materialized,0,1.0,r0_measured_00129,0.2027,33.2024,36.8789,37.0816,671,1.4373,1.3256,0.7518
read,neo4j-materialized,0,1.0,r0_measured_00692,0.1823,35.0418,38.6783,38.8606,673,1.4673,1.405,0.632
read,neo4j-materialized,0,1.0,r0_measured_00622,0.214,15.7741,17.3146,17.5286,417,0.6695,0.3621,0.4359
read,neo4j-materialized,0,1.0,r0_measured_00260,0.1641,33.7963,36.8791,37.0432,623,1.2102,1.0477,0.6922
read,neo4j-materialized,0,1.0,r0_measured_00170,0.2209,27.4977,32.2141,32.435,625,1.7145,1.8405,0.9882
read,neo4j-materialized,0,1.0,r0_measured_00118,0.1118,26.5842,29.9148,30.0266,624,1.2332,1.1509,0.8038
read,neo4j-materialized,0,1.0,r0_measured_00372,0.1525,26.9555,29.5229,29.6754,676,0.6936,0.9981,0.7594
read,neo4j-materialized,0,1.0,r0_measured_00224,0.3212,26.4708,28.4959,28.8171,684,0.8552,0.6666,0.4164
read,neo4j-materialized,0,1.0,r0_measured_00117,0.1677,35.6648,38.7926,38.9603,660,1.2135,1.103,0.6865
read,neo4j-materialized,0,1.0,r0_measured_00588,0.2192,24.4702,26.532,26.7512,673,0.7851,0.6202,0.5746
read,neo4j-materialized,0,1.0,r0_measured_00568,0.3556,33.9455,37.7646,38.1202,679,1.4352,1.4244,0.8004
read,neo4j-materialized,0,1.0,r0_measured_00458,0.0781,27.3067,28.8825,28.9606,627,0.5877,0.5372,0.3819
read,neo4j-materialized,0,1.0,r0_measured_00396,0.2374,29.7646,32.5073,32.7447,623,1.0886,0.9954,0.5454
read,neo4j-materialized,0,1.0,r0_measured_00003,0.1472,31.8545,34.7394,34.8866,623,1.1598,0.9925,0.6046
read,neo4j-materialized,0,1.0,r0_measured_00464,0.2245,13.5237,16.2759,16.5004,413,1.1429,0.6511,0.8311
read,neo4j-materialized,0,1.0,r0_measured_00435,0.1346,27.7378,31.144,31.2786,687,1.3453,1.2793,0.6418
read,neo4j-materialized,0,1.0,r0_measured_00419,0.1344,33.8609,36.8361,36.9705,678,1.138,1.0152,0.6955
read,neo4j-materialized,0,1.0,r0_measured_00389,0.2094,27.29,29.1529,29.3623,675,0.6579,0.744,0.3851
read,neo4j-materialized,0,1.0,r0_measured_00318,0.0964,20.8436,22.8976,22.994,567,0.7428,0.7271,0.5109
read,neo4j-materialized,0,1.0,r0_measured_00162,0.0996,16.2779,18.3534,18.453,676,0.5857,1.1281,0.3053
read,neo4j-materialized,0,1.0,r0_measured_00510,0.0831,32.5221,36.464,36.5471,681,1.4411,1.441,0.8705
read,neo4j-materialized,0,1.0,r0_measured_00477,0.098,15.9131,18.6949,18.7929,567,1.0967,0.925,0.6381
read,neo4j-materialized,0,1.0,r0_measured_00181,0.1076,30.1822,33.0116,33.1192,685,1.0066,1.1557,0.5566
read,neo4j-materialized,0,1.0,r0_measured_00649,0.1577,24.7293,26.8357,26.9934,566,0.7544,0.8474,0.4157
read,neo4j-materialized,0,1.0,r0_measured_00530,0.1994,26.5411,29.8413,30.0407,671,1.2788,1.1433,0.7384
read,neo4j-materialized,0,1.0,r0_measured_00125,0.18,27.3861,29.1894,29.3694,687,0.6776,0.7326,0.319
read,neo4j-materialized,0,1.0,r0_measured_00684,0.2252,32.0801,34.9983,35.2235,677,1.3648,1.1255,0.3143
read,neo4j-materialized,0,1.0,r0_measured_00394,0.1229,26.375,28.1905,28.3134,627,0.691,0.6558,0.3819
read,neo4j-materialized,0,1.0,r0_measured_00156,0.1931,30.8739,32.5824,32.7755,685,0.7134,0.5923,0.3248
read,neo4j-materialized,0,1.0,r0_measured_00005,0.1648,25.906,27.7374,27.9022,660,0.7357,0.6399,0.3827
read,neo4j-materialized,0,1.0,r0_measured_00150,0.1697,27.8799,29.8269,29.9966,685,0.8133,0.6573,0.3927
read,neo4j-materialized,0,1.0,r0_measured_00767,0.1391,24.5955,26.2804,26.4195,562,0.6686,0.5691,0.3647
read,neo4j-materialized,0,1.0,r0_measured_00207,0.1105,21.6776,23.7496,23.8601,504,0.7274,0.6907,0.5656
read,neo4j-materialized,0,1.0,r0_measured_00186,0.1899,30.4476,33.3785,33.5684,625,1.1445,1.0248,0.636
read,neo4j-materialized,0,1.0,r0_measured_00173,0.1777,23.01,25.3109,25.4886,415,1.0114,0.5176,0.6698
read,neo4j-materialized,0,1.0,r0_measured_00289,0.0739,18.4437,20.2201,20.294,685,0.6679,0.6659,0.3563
read,neo4j-materialized,0,1.0,r0_measured_00245,0.2025,20.8024,23.151,23.3535,413,0.974,0.5292,0.7394
read,neo4j-materialized,0,1.0,r0_measured_00502,0.1058,31.2979,34.1801,34.2859,564,1.1105,0.9541,0.689
read,neo4j-materialized,0,1.0,r0_measured_00597,0.243,28.4754,32.4507,32.6937,679,1.7524,1.7021,0.3882
read,neo4j-materialized,0,1.0,r0_measured_00545,0.2876,22.3444,24.9432,25.2308,413,1.0734,0.6181,0.7834
read,neo4j-materialized,0,1.0,r0_measured_00480,0.3723,26.9011,28.3421,28.7144,678,0.5073,0.5405,0.3343
read,neo4j-materialized,0,1.0,r0_measured_00473,0.0968,16.596,19.3932,19.49,673,0.5879,1.2521,0.8281
read,neo4j-materialized,0,1.0,r0_measured_00332,0.0587,15.3015,17.425,17.4837,624,0.8075,0.8844,0.3563
read,neo4j-materialized,0,1.0,r0_measured_00697,0.4373,34.019,36.6306,37.0679,678,1.0712,0.9002,0.5244
read,neo4j-materialized,0,1.0,r0_measured_00485,0.2634,39.6553,43.6814,43.9448,675,1.4691,1.3916,0.9663
read,neo4j-materialized,0,1.0,r0_measured_00284,0.1223,25.1597,27.2622,27.3845,508,0.7739,0.7613,0.471
read,neo4j-materialized,0,1.0,r0_measured_00227,0.075,14.7756,16.7116,16.7866,672,0.8925,0.6503,0.326
read,neo4j-materialized,0,1.0,r0_measured_00343,0.1217,21.462,25.0674,25.1891,563,1.2544,1.4621,0.7604
read,neo4j-materialized,0,1.0,r0_measured_00083,0.0839,15.9888,17.7605,17.8444,687,0.6699,0.675,0.3467
read,neo4j-materialized,0,1.0,r0_measured_00791,0.1932,23.768,25.7887,25.9819,415,0.9243,0.4564,0.5374
read,neo4j-materialized,0,1.0,r0_measured_00574,0.1979,19.8065,21.5592,21.7571,625,0.6389,0.7052,0.3389
read,neo4j-materialized,0,1.0,r0_measured_00616,0.0821,16.7436,18.367,18.4491,671,0.5957,0.6341,0.3324
read,neo4j-materialized,0,1.0,r0_measured_00285,0.1057,20.4936,22.616,22.7217,657,0.7936,0.8332,0.4127
read,neo4j-materialized,0,1.0,r0_measured_00116,0.0822,16.1497,17.8363,17.9185,673,0.6291,0.6535,0.3292
read,neo4j-materialized,0,1.0,r0_measured_00112,0.1323,24.2574,26.0193,26.1516,673,0.6547,0.7012,0.3329
read,neo4j-materialized,0,1.0,r0_measured_00472,0.0981,19.5396,22.3569,22.455,564,1.1018,0.9566,0.6418
read,neo4j-materialized,0,1.0,r0_measured_00091,0.2316,20.7812,22.832,23.0636,368,0.84,0.4577,0.6564
