sequence,update_id,memory_id,version,operation,backend,phase,raw_committed,backend_error,processing_started_ns,rawerk_committed_ns,bm25_committed_ns,searchable_ns,retrieved_rank,queue_wait_ms,backend_commit_ms,view_update_ms,index_update_ms,visibility_probe_ms,update_to_searchable_ms,status
54,p53c-update-00000054,p53c-memory-0000033,1,insert_memory,neo4j,stable_before_outage,1,,561573352707100,561573357683300,561573358162300,561573358303000,1,32.5782,19.7145,4.9762,0.479,0.1407,38.1751,success
55,p53c-update-00000055,p53c-memory-0000034,1,insert_memory,neo4j,stable_before_outage,1,,561573420211000,561573427469200,561573427993200,561573428117100,1,49.5979,16.6031,7.2582,0.524,0.1239,57.5045,success
56,p53c-update-00000056,p53c-memory-0000035,1,insert_memory,neo4j,stable_before_outage,1,,561573459359000,561573464998400,561573465557400,561573465706000,1,39.3528,11.3842,5.6394,0.559,0.1486,45.7,success
57,p53c-update-00000057,p53c-memory-0000011,4,update_relation,neo4j,stable_before_outage,1,,561573496757200,561573502454300,561573503062700,561573503239000,1,26.7579,11.0066,5.6971,0.6084,0.1763,33.2399,success
58,p53c-update-00000058,p53c-memory-0000002,3,update_relation,neo4j,stable_before_outage,1,,561573564716600,561573572775700,561573573362700,561573573499100,1,43.6956,13.871,8.0591,0.587,0.1364,52.4783,success
59,p53c-update-00000059,p53c-memory-0000017,2,update_relation,neo4j,stable_before_outage,1,,561573604616000,561573613028300,561573613614600,561573613797400,1,34.4353,10.0141,8.4123,0.5863,0.1828,43.6173,success
60,p53c-update-00000060,p53c-memory-0000009,4,replace_relation,neo4j,stable_before_outage,1,,561573645311800,561573652512600,561573653249900,561573653454800,1,25.0675,9.7466,7.2008,0.7373,0.2049,33.2107,success
61,p53c-update-00000061,p53c-memory-0000036,1,insert_memory,neo4j,stable_before_outage,1,,561573715533900,561573725944500,561573727178100,561573727355200,1,44.6808,13.9514,10.4106,1.2336,0.1771,56.5025,success
62,p53c-update-00000062,p53c-memory-0000037,1,insert_memory,neo4j,stable_before_outage,1,,561573759097600,561573784194800,561573784715700,561573784808100,1,38.2354,21.0003,25.0972,0.5209,0.0924,63.9463,success
63,p53c-update-00000063,p53c-memory-0000038,1,insert_memory,neo4j,stable_before_outage,1,,561573815813500,561573826766500,561573827228900,561573827320300,1,45.7553,39.0819,10.953,0.4624,0.0914,57.263,success
64,p53c-update-00000064,p53c-memory-0000039,1,insert_memory,neo4j,stable_before_outage,1,,561573858758400,561573867749000,561573868324300,561573868407800,1,37.8238,12.1879,8.9906,0.5753,0.0835,47.4734,success
65,p53c-update-00000065,p53c-memory-0000040,1,insert_memory,neo4j,stable_before_outage,1,,561573899711000,561573908847600,561573909515900,561573909646900,1,29.9646,15.3281,9.1366,0.6683,0.131,39.9006,success
66,p53c-update-00000066,p53c-memory-0000041,1,insert_memory,neo4j,stable_before_outage,1,,561573971281300,561573984619600,561573985331200,561573985520600,1,50.7417,20.4928,13.3383,0.7116,0.1894,64.9812,success
67,p53c-update-00000067,p53c-memory-0000023,2,update_relation,neo4j,stable_before_outage,1,,561574017367400,561574025621000,561574026191900,561574026331300,1,47.2253,21.543,8.2536,0.5709,0.1394,56.1894,success
68,p53c-update-00000068,p53c-memory-0000024,2,update_relation,neo4j,stable_before_outage,1,,561574057689300,561574064330900,561574064884600,561574064995900,1,37.6489,11.7873,6.6416,0.5537,0.1113,44.9559,success
69,p53c-update-00000069,p53c-memory-0000028,2,update_relation,neo4j,stable_before_outage,1,,561574096337300,561574102948400,561574103712700,561574103882900,1,26.3282,13.4841,6.6111,0.7643,0.1702,33.8745,success
70,p53c-update-00000070,p53c-memory-0000025,2,replace_relation,neo4j,stable_before_outage,1,,561574166119300,561574176658700,561574177218300,561574177340000,1,46.3215,10.1876,10.5394,0.5596,0.1217,57.5428,success
