run_id,update_id,operation,update_to_searchable_ms,kg_write_ms,kg_update_ms,probe_ms,retry_count,status
2,evt_00002003,insert_memory,933.354,933.354,N/A,N/A,0,ok
2,evt_00002004,insert_memory,934.316,934.316,N/A,N/A,0,ok
2,evt_00002005,insert_memory,927.235,927.235,N/A,N/A,0,ok
2,evt_00002006,insert_memory,932.505,932.505,N/A,N/A,0,ok
2,evt_00002007,insert_memory,931.875,931.875,N/A,N/A,0,ok
2,evt_00002008,insert_memory,930.966,930.966,N/A,N/A,0,ok
2,evt_00002009,insert_memory,931.099,931.099,N/A,N/A,0,ok
2,evt_00002010,insert_memory,924.63,924.63,N/A,N/A,0,ok
2,evt_00002011,insert_memory,923.402,923.402,N/A,N/A,0,ok
2,evt_00002012,insert_memory,923.539,923.539,N/A,N/A,0,ok
2,evt_00002013,insert_memory,922.752,922.752,N/A,N/A,0,ok
2,evt_00002014,insert_memory,928.891,928.891,N/A,N/A,0,ok
2,evt_00002015,insert_memory,928.631,928.631,N/A,N/A,0,ok
2,evt_00002016,insert_memory,928.0,928.0,N/A,N/A,0,ok
2,evt_00002017,insert_memory,928.391,928.391,N/A,N/A,0,ok
2,evt_00002018,insert_memory,929.025,929.025,N/A,N/A,0,ok
2,evt_00002019,insert_memory,928.302,928.302,N/A,N/A,0,ok
2,evt_00002020,insert_memory,926.641,926.641,N/A,N/A,0,ok
2,evt_00002021,insert_memory,924.848,924.848,N/A,N/A,0,ok
2,evt_00002022,insert_memory,926.046,926.046,N/A,N/A,0,ok
2,evt_00002023,insert_memory,927.551,927.551,N/A,N/A,0,ok
2,evt_00002024,insert_memory,925.957,925.957,N/A,N/A,0,ok
2,evt_00002025,insert_memory,925.062,925.062,N/A,N/A,0,ok
2,evt_00002026,insert_memory,924.834,924.834,N/A,N/A,0,ok
2,evt_00002027,insert_memory,926.425,926.425,N/A,N/A,0,ok
2,evt_00002028,insert_memory,924.728,924.728,N/A,N/A,0,ok
2,evt_00002029,insert_memory,924.806,924.806,N/A,N/A,0,ok
2,evt_00002030,insert_memory,924.939,924.939,N/A,N/A,0,ok
2,evt_00002031,insert_memory,923.679,923.679,N/A,N/A,0,ok
2,evt_00002943,insert_memory,368.245,368.245,N/A,N/A,0,ok
2,evt_00002946,insert_memory,360.278,360.278,N/A,N/A,0,ok
2,evt_00002947,insert_memory,361.437,361.437,N/A,N/A,0,ok
2,evt_00002948,insert_memory,363.259,363.259,N/A,N/A,0,ok
2,evt_00002949,insert_memory,358.993,358.993,N/A,N/A,0,ok
2,evt_00002950,insert_memory,361.336,361.336,N/A,N/A,0,ok
2,evt_00002951,insert_memory,358.375,358.375,N/A,N/A,0,ok
2,evt_00002952,insert_memory,358.999,358.999,N/A,N/A,0,ok
2,evt_00002953,insert_memory,357.787,357.787,N/A,N/A,0,ok
2,evt_00002954,insert_memory,359.292,359.292,N/A,N/A,0,ok
2,evt_00002955,insert_memory,356.707,356.707,N/A,N/A,0,ok
2,evt_00002956,insert_memory,361.686,361.686,N/A,N/A,0,ok
2,evt_00002957,insert_memory,364.83,364.83,N/A,N/A,0,ok
2,evt_00002958,insert_memory,360.761,360.761,N/A,N/A,0,ok
2,evt_00002959,insert_memory,360.312,360.312,N/A,N/A,0,ok
2,evt_00002960,insert_memory,362.365,362.365,N/A,N/A,0,ok
2,evt_00002961,insert_memory,360.681,360.681,N/A,N/A,0,ok
2,evt_00002962,insert_memory,357.774,357.774,N/A,N/A,0,ok
2,evt_00002963,insert_memory,357.615,357.615,N/A,N/A,0,ok
2,evt_00002964,insert_memory,359.164,359.164,N/A,N/A,0,ok
2,evt_00002965,insert_memory,363.761,363.761,N/A,N/A,0,ok
2,evt_00002966,insert_memory,356.151,356.151,N/A,N/A,0,ok
2,evt_00002967,insert_memory,362.528,362.528,N/A,N/A,0,ok
2,evt_00002968,insert_memory,363.46,363.46,N/A,N/A,0,ok
2,evt_00002969,insert_memory,362.522,362.522,N/A,N/A,0,ok
2,evt_00002970,insert_memory,361.782,361.782,N/A,N/A,0,ok
2,evt_00002971,insert_memory,360.774,360.774,N/A,N/A,0,ok
2,evt_00002972,insert_memory,359.615,359.615,N/A,N/A,0,ok
2,evt_00002973,insert_memory,358.904,358.904,N/A,N/A,0,ok
2,evt_00002974,insert_memory,355.974,355.974,N/A,N/A,0,ok
2,evt_00002975,insert_memory,363.118,363.118,N/A,N/A,0,ok
2,evt_00002976,insert_memory,360.594,360.594,N/A,N/A,0,ok
2,evt_00003784,insert_memory,324.421,324.421,N/A,N/A,0,ok
2,evt_00003785,insert_memory,324.787,324.787,N/A,N/A,0,ok
2,evt_00003788,insert_memory,325.475,325.475,N/A,N/A,0,ok
2,evt_00003794,insert_memory,325.671,325.671,N/A,N/A,0,ok
2,evt_00003795,insert_memory,324.517,324.517,N/A,N/A,0,ok
2,evt_00003800,insert_memory,329.797,329.797,N/A,N/A,0,ok
2,evt_00003801,insert_memory,326.273,326.273,N/A,N/A,0,ok
2,evt_00003802,insert_memory,325.258,325.258,N/A,N/A,0,ok
2,evt_00003803,insert_memory,326.812,326.812,N/A,N/A,0,ok
2,evt_00003804,insert_memory,324.89,324.89,N/A,N/A,0,ok
2,evt_00003805,insert_memory,325.321,325.321,N/A,N/A,0,ok
2,evt_00003809,insert_memory,329.781,329.781,N/A,N/A,0,ok
2,evt_00003810,insert_memory,332.251,332.251,N/A,N/A,0,ok
2,evt_00005373,insert_memory,370.988,370.988,N/A,N/A,0,ok
2,evt_00005376,insert_memory,362.9,362.9,N/A,N/A,0,ok
2,evt_00005377,insert_memory,366.935,366.935,N/A,N/A,0,ok
2,evt_00005378,insert_memory,363.414,363.414,N/A,N/A,0,ok
2,evt_00005379,insert_memory,363.182,363.182,N/A,N/A,0,ok
2,evt_00005380,insert_memory,362.491,362.491,N/A,N/A,0,ok
2,evt_00005381,insert_memory,364.243,364.243,N/A,N/A,0,ok
2,evt_00005382,insert_memory,363.389,363.389,N/A,N/A,0,ok
2,evt_00005383,insert_memory,362.576,362.576,N/A,N/A,0,ok
2,evt_00005384,insert_memory,362.493,362.493,N/A,N/A,0,ok
2,evt_00005385,insert_memory,359.977,359.977,N/A,N/A,0,ok
2,evt_00005386,insert_memory,360.215,360.215,N/A,N/A,0,ok
2,evt_00005387,insert_memory,358.813,358.813,N/A,N/A,0,ok
2,evt_00005388,insert_memory,363.032,363.032,N/A,N/A,0,ok
2,evt_00005389,insert_memory,362.478,362.478,N/A,N/A,0,ok
2,evt_00005390,insert_memory,363.614,363.614,N/A,N/A,0,ok
