backend,concurrency,run_id,update_id,update_to_searchable_ms,kg_write_ms,probe_ms,status
cassandra,64,2,evt_00021642,65.194,65.194,0,ok
cassandra,64,2,evt_00021643,56.795,56.795,0,ok
cassandra,64,2,evt_00021644,63.717,63.717,0,ok
cassandra,64,2,evt_00021645,56.382,56.382,0,ok
cassandra,64,2,evt_00021646,54.663,54.663,0,ok
cassandra,64,2,evt_00021647,57.93,57.93,0,ok
cassandra,64,2,evt_00021648,63.536,63.536,0,ok
cassandra,64,2,evt_00021649,56.106,56.106,0,ok
cassandra,64,2,evt_00021650,54.315,54.315,0,ok
cassandra,64,2,evt_00021651,54.56,54.56,0,ok
cassandra,64,2,evt_00021652,60.562,60.562,0,ok
cassandra,64,2,evt_00021653,55.779,55.779,0,ok
cassandra,64,2,evt_00021654,59.402,59.402,0,ok
cassandra,64,2,evt_00021655,59.031,59.031,0,ok
cassandra,64,2,evt_00021656,59.923,59.923,0,ok
cassandra,64,2,evt_00021657,53.972,53.972,0,ok
cassandra,64,2,evt_00021658,66.912,66.912,0,ok
cassandra,64,2,evt_00021659,61.967,61.967,0,ok
cassandra,64,2,evt_00021660,63.353,63.353,0,ok
cassandra,64,2,evt_00021661,61.273,61.273,0,ok
cassandra,64,2,evt_00021662,61.574,61.574,0,ok
cassandra,64,2,evt_00021663,62.186,62.186,0,ok
cassandra,64,2,evt_00021664,63.102,63.102,0,ok
cassandra,64,2,evt_00021665,67.165,67.165,0,ok
cassandra,64,2,evt_00021666,63.038,63.038,0,ok
cassandra,64,2,evt_00021667,62.159,62.159,0,ok
cassandra,64,2,evt_00021668,61.286,61.286,0,ok
cassandra,64,2,evt_00021669,61.595,61.595,0,ok
cassandra,64,2,evt_00021670,58.505,58.505,0,ok
cassandra,64,2,evt_00021671,59.265,59.265,0,ok
cassandra,64,2,evt_00021672,56.999,56.999,0,ok
cassandra,64,2,evt_00021673,63.255,63.255,0,ok
cassandra,64,2,evt_00021674,62.004,62.004,0,ok
cassandra,64,2,evt_00021675,61.891,61.891,0,ok
cassandra,64,2,evt_00021676,62.574,62.574,0,ok
cassandra,64,2,evt_00021677,64.076,64.076,0,ok
cassandra,64,2,evt_00021678,58.477,58.477,0,ok
cassandra,64,2,evt_00021679,55.788,55.788,0,ok
cassandra,64,2,evt_00021680,59.667,59.667,0,ok
cassandra,64,2,evt_00021681,58.64,58.64,0,ok
cassandra,64,2,evt_00021682,57.766,57.766,0,ok
cassandra,64,2,evt_00021683,56.17,56.17,0,ok
cassandra,64,2,evt_00021684,60.025,60.025,0,ok
cassandra,64,2,evt_00021685,59.838,59.838,0,ok
cassandra,64,2,evt_00021686,60.404,60.404,0,ok
cassandra,64,2,evt_00021687,73.783,73.783,0,ok
cassandra,64,2,evt_00021688,73.013,73.013,0,ok
cassandra,64,2,evt_00021689,79.566,79.566,0,ok
cassandra,64,2,evt_00021690,68.502,68.502,0,ok
cassandra,64,2,evt_00021691,70.534,70.534,0,ok
cassandra,64,2,evt_00021692,72.585,72.585,0,ok
cassandra,64,2,evt_00021693,70.396,70.396,0,ok
cassandra,64,2,evt_00021694,69.612,69.612,0,ok
cassandra,64,2,evt_00021695,79.928,79.928,0,ok
cassandra,64,2,evt_00021696,69.514,69.514,0,ok
cassandra,64,2,evt_00021697,69.203,69.203,0,ok
cassandra,64,2,evt_00021698,72.079,72.079,0,ok
cassandra,64,2,evt_00021699,69.118,69.118,0,ok
cassandra,64,2,evt_00021700,67.885,67.885,0,ok
cassandra,64,2,evt_00021701,70.629,70.629,0,ok
cassandra,64,2,evt_00021702,69.728,69.728,0,ok
cassandra,64,2,evt_00021703,70.563,70.563,0,ok
cassandra,64,2,evt_00021704,73.088,73.088,0,ok
cassandra,64,2,evt_00021705,72.096,72.096,0,ok
cassandra,64,2,evt_00021706,71.985,71.985,0,ok
cassandra,64,2,evt_00021707,72.669,72.669,0,ok
cassandra,64,2,evt_00021708,74.741,74.741,0,ok
cassandra,64,2,evt_00021709,70.864,70.864,0,ok
cassandra,64,2,evt_00021710,71.143,71.143,0,ok
cassandra,64,2,evt_00021711,72.711,72.711,0,ok
cassandra,64,2,evt_00021712,68.027,68.027,0,ok
cassandra,64,2,evt_00021713,74.706,74.706,0,ok
cassandra,64,2,evt_00021714,71.086,71.086,0,ok
cassandra,64,2,evt_00021715,68.245,68.245,0,ok
cassandra,64,2,evt_00021716,68.573,68.573,0,ok
cassandra,64,2,evt_00021717,66.446,66.446,0,ok
cassandra,64,2,evt_00021718,65.263,65.263,0,ok
cassandra,64,2,evt_00021719,69.457,69.457,0,ok
cassandra,64,2,evt_00021720,68.148,68.148,0,ok
cassandra,64,2,evt_00021721,64.652,64.652,0,ok
cassandra,64,2,evt_00021722,73.425,73.425,0,ok
cassandra,64,2,evt_00021723,74.399,74.399,0,ok
