status,protocol_id,cell,concurrency,repetition,warmup_operations,measured_operations,reads,updates,warmup_seconds,measured_seconds,throughput_ops_s,latency_p50_ms,latency_p95_ms,latency_p99_ms,read_p50_ms,read_p95_ms,read_p99_ms,update_p50_ms,update_p95_ms,update_p99_ms,fresh_hit_at_10,error_rate,graph_projection_pass,relation_candidate_pass,source_sha256
PASS,graph-aware-logical-event-v2-100k-95r5u,cassandra-materialized,16,2,500,5000,4750,250,2.096278999990318,22.354924999992363,223.6643603144143,40.6517,307.98437500000057,568.871898,39.315,116.97420500000004,182.1005420000005,491.0914,623.9786149999999,708.3798969999999,0.772,0.0,250,250,32277ebec744016e3b3609a11a1008f136d199944ea01f3827f1f9c563ea07bd
PASS,graph-aware-logical-event-v2-100k-95r5u,cassandra-materialized,32,0,500,5000,4750,250,2.1181640999857336,22.30693079996854,224.14558259207274,90.10455,592.7351100000001,999.7390280000003,86.7836,219.29969,398.8702070000015,848.8111,1167.211625,1535.9915159999998,0.7,0.0,250,250,16239ca0a212ea864164ecb3526eb04e611636889b80ad6463949388074a97b0
PASS,graph-aware-logical-event-v2-100k-95r5u,cassandra-materialized,32,1,500,5000,4750,250,2.2033638000139035,21.797287200053688,229.3863430852847,87.39394999999999,551.7993250000004,970.3848550000006,84.51925,218.30043500000005,405.999672000002,851.73945,1135.00256,1437.801939,0.764,0.0,250,250,69a9def75706f4cac7f6075992e2871a8649d5d54518b3614bf0b5ae05bad8b1
PASS,graph-aware-logical-event-v2-100k-95r5u,cassandra-materialized,32,2,500,5000,4750,250,2.128207600035239,22.060609900043346,226.64831220238275,87.09915000000001,550.0264300000016,978.5095220000001,84.97900000000001,229.13845500000002,372.90549800000014,866.4731,1120.0381399999999,1170.399371,0.772,0.0,250,250,7dad15428f6e904a6748d22541759dcca66e89e213abef5c46f6aa89b9c7c113
PASS,graph-aware-logical-event-v2-100k-95r5u,cassandra-materialized,64,0,500,5000,4750,250,2.089349800022319,21.706657300004736,230.3440797399473,195.84584999999998,792.308835000001,1703.533879,190.97840000000002,378.9835100000001,574.177222,1497.8168500000002,1915.0984649999998,2159.765048999999,0.7,0.0,250,250,86f288019ff55ccf9707d6b44c690218647d91b63e8fe0650a1cffb34c114e43
PASS,graph-aware-logical-event-v2-100k-95r5u,cassandra-materialized,64,1,500,5000,4750,250,2.0351885000127368,21.57565600000089,231.74266404691443,194.4726,758.1154250000133,1667.3422330000005,190.1755,377.864515,569.857523,1457.47445,1959.065915,2124.856548999999,0.764,0.0,250,250,cc8f1ab365c54d9d060b345018d2b066d8af932796922030c53d9083c02ee17d
PASS,graph-aware-logical-event-v2-100k-95r5u,cassandra-materialized,64,2,500,5000,4750,250,2.103261200012639,21.78247849998297,229.5422901486582,191.3389,763.9296600000133,1707.626559,186.21955000000003,386.6145850000001,625.9346530000022,1497.0864499999998,1912.565235,2078.873537,0.772,0.0,250,250,5d6238d048df9851b5014e1d4119e08b7780c5a7aa0133ae6cd563a3ad32ce54
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-native,1,0,500,5000,4750,250,10.625677399977576,89.58312110003317,55.8140857184105,14.87505,52.44372500000006,87.71695300000002,14.74615,19.205515,23.544397000000032,78.49164999999999,97.70850999999998,111.98792399999998,0.7,0.0,250,250,17b88559bd56b2b716686499396c520820a89fdf326dd66e527b8fd76a4f2f35
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-native,1,1,500,5000,4750,250,8.506903600005899,86.69652330002282,57.672439559046126,14.3368,53.00097500000028,82.66892300000002,14.21455,18.827555,23.381112,73.93185,94.199355,103.58974399999995,0.764,0.0,250,250,4aab07bc8dd3c77bc609c7c2eabf70308c8058e5853e214b6271e6c7be6cfb11
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-native,1,2,500,5000,4750,250,8.893017900001723,88.33075400005328,56.60542646332425,14.57755,51.894295000000284,86.05079800000006,14.44595,19.376420000000003,24.50193500000001,76.0507,98.80428999999998,106.51198899999997,0.772,0.0,250,250,6e25d6df04bbb1f8c9d465f84881e089b1dcec5a7ea020b0e6e69476e6d4318a
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-native,8,0,500,5000,4750,250,16.012637300009374,159.65311319998,31.317898535038566,261.2781,342.2744600000001,426.7267780000001,259.64805,315.86961000000014,344.1779390000001,393.21045000000004,464.66793,488.6540839999999,0.7,0.0,250,250,035bb3a86249044b1e6fb6db5f1c21fb2ad46a378d3343f9f35a4c5e0a25e6fe
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-native,8,1,500,5000,4750,250,15.627342500025406,157.70004909997806,31.705760578616687,256.9366,339.704205,427.04883200000006,255.41449999999998,314.70660000000004,344.9049060000001,386.14945,468.592265,497.52358100000004,0.764,0.0,250,250,3d86817ec5cf76a1642096fead3d3f8b07eb88f2dd923a9bf5848d318e10e9e4
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-native,8,2,500,5000,4750,250,15.476920499990229,160.391493800038,31.17372300449773,261.1662,343.90385000000003,427.776928,259.29835,319.461425,346.7257100000002,388.45605,455.06869499999993,482.5331439999999,0.772,0.0,250,250,4aa3cbf03a12085681caf79a5bcecc7b54f436d03cd770d8a33e797f9fb153ab
