cell,concurrency,repetitions,measured_operations_per_rep,reads_per_rep,updates_per_rep,throughput_ops_s_median,throughput_ops_s_min,throughput_ops_s_max,latency_p50_ms_median,latency_p50_ms_min,latency_p50_ms_max,latency_p95_ms_median,latency_p95_ms_min,latency_p95_ms_max,latency_p99_ms_median,latency_p99_ms_min,latency_p99_ms_max,read_p50_ms_median,read_p50_ms_min,read_p50_ms_max,read_p95_ms_median,read_p95_ms_min,read_p95_ms_max,read_p99_ms_median,read_p99_ms_min,read_p99_ms_max,update_p50_ms_median,update_p50_ms_min,update_p50_ms_max,update_p95_ms_median,update_p95_ms_min,update_p95_ms_max,update_p99_ms_median,update_p99_ms_min,update_p99_ms_max,fresh_hit_at_10_median,fresh_hit_at_10_min,fresh_hit_at_10_max,error_rate_median,error_rate_min,error_rate_max,status
neo4j-native,1,3,5000,4750,250,56.60542646332425,55.8140857184105,57.672439559046126,14.57755,14.3368,14.87505,52.44372500000006,51.894295000000284,53.00097500000028,86.05079800000006,82.66892300000002,87.71695300000002,14.44595,14.21455,14.74615,19.205515,18.827555,19.376420000000003,23.544397000000032,23.381112,24.50193500000001,76.0507,73.93185,78.49164999999999,97.70850999999998,94.199355,98.80428999999998,106.51198899999997,103.58974399999995,111.98792399999998,0.764,0.7,0.772,0.0,0.0,0.0,PASS
neo4j-native,8,3,5000,4750,250,31.317898535038566,31.17372300449773,31.705760578616687,261.1662,256.9366,261.2781,342.2744600000001,339.704205,343.90385000000003,427.04883200000006,426.7267780000001,427.776928,259.29835,255.41449999999998,259.64805,315.86961000000014,314.70660000000004,319.461425,344.9049060000001,344.1779390000001,346.7257100000002,388.45605,386.14945,393.21045000000004,464.66793,455.06869499999993,468.592265,488.6540839999999,482.5331439999999,497.52358100000004,0.764,0.7,0.772,0.0,0.0,0.0,PASS
neo4j-native,16,3,5000,4750,250,31.237097048499916,31.18247032627821,31.499398555209847,529.8241,526.0153499999999,531.8949,650.4689600000002,648.7741400000002,657.3565850000001,793.3044040000002,788.4820410000001,796.481834,526.24365,522.84525,528.92845,621.86585,618.93798,627.33421,657.9552820000001,654.487015,666.5548120000001,737.1947,729.4624,744.5634,845.3820299999999,841.515535,850.4377249999999,883.5560589999998,882.0012569999999,888.527236,0.764,0.7,0.772,0.0,0.0,0.0,PASS
neo4j-native,32,3,5000,4750,250,30.66195701623689,30.568027815282736,30.79378588569526,1097.8820500000002,1092.4119999999998,1098.16895,1277.9682149999999,1275.5966449999999,1294.43884,1543.3693010000002,1534.3419360000003,1556.802124,1092.045,1087.00655,1092.3269500000001,1238.129245,1237.18009,1246.49269,1288.4518810000002,1288.2866100000003,1309.373119,1440.34195,1423.32435,1449.013,1616.07586,1604.71055,1637.717985,1677.222622,1646.826301,1714.308925,0.764,0.7,0.772,0.0,0.0,0.0,PASS
neo4j-native,64,3,5000,4750,250,29.352340995132092,29.147942953555606,29.42288326731499,2304.9844000000003,2298.9658499999996,2310.20565,2651.01319,2640.6480450000004,2749.45537,3164.068888000002,3146.815786,3257.428739,2293.6124499999996,2288.9615,2297.5873,2580.517195,2559.437055,2622.15928,2685.794362000001,2680.7007070000004,2877.4414720000022,2963.5665,2958.647,2980.3341499999997,3299.03709,3280.437,3356.21431,3429.848297,3397.2616599999997,3729.7384269999975,0.764,0.7,0.772,0.0,0.0,0.0,PASS
neo4j-materialized,1,3,5000,4750,250,56.978246922355346,56.25005390861798,57.307148288294066,14.23375,14.091750000000001,14.2345,50.787470000000006,48.49057000000003,53.46623500000006,84.62807200000005,81.68384500000012,86.96759700000013,14.0876,13.974250000000001,14.1025,21.059265,20.494940000000003,21.253800000000005,28.753367000000026,28.567164000000002,28.810278000000007,73.01125,71.94175000000001,73.267,101.231175,96.46866999999999,107.69413999999999,115.29307199999998,109.24985899999999,117.47882499999996,0.764,0.7,0.772,0.0,0.0,0.0,PASS
neo4j-materialized,8,3,5000,4750,250,33.4018521782684,30.09989515881177,33.87019314591491,239.6728,237.2004,268.8419,333.0961700000001,332.6629,369.6220800000001,420.2455640000001,401.99038100000007,437.4690100000001,237.5058,235.35750000000002,266.88505,305.52131,305.21338000000003,340.05865,351.6352570000005,343.16163300000005,381.082062,369.5276,359.26430000000005,399.63075000000003,462.1566399999999,447.96797,480.64957999999996,518.6293949999999,502.9564149999999,542.2098509999997,0.764,0.7,0.772,0.0,0.0,0.0,PASS
neo4j-materialized,16,3,5000,4750,250,34.160456410695936,34.07343387211429,34.32621811679761,481.6941,480.56780000000003,483.1123,611.328225,609.7961200000001,621.9800700000001,726.535706,720.925381,739.9803840000003,478.61485,477.49289999999996,479.3741,575.684225,570.14032,579.20139,624.215285,618.0181340000001,636.5458330000002,673.13685,666.54655,675.94425,771.90847,761.53251,791.36081,826.8398569999999,810.1713629999997,865.8644859999999,0.764,0.7,0.772,0.0,0.0,0.0,PASS
neo4j-materialized,32,3,5000,4750,250,33.30179100914171,33.14014730748858,33.43552714967377,1002.1564000000001,1000.3236999999999,1004.9109,1198.4927500000001,1192.6516400000003,1221.1465150000001,1437.520061,1430.4543660000004,1490.0479050000004,997.2298499999999,995.6641,999.30845,1157.43831,1156.331105,1161.166665,1212.533505,1208.9636560000006,1259.651507,1335.5839,1323.3321,1336.7663,1505.07197,1500.353105,1531.1506049999998,1566.3888239999999,1529.526956,1750.0712319999984,0.764,0.7,0.772,0.0,0.0,0.0,PASS
neo4j-materialized,64,3,5000,4750,250,32.57448459006425,32.39238791192758,32.65606146613991,2071.8812500000004,2071.2311,2080.9949,2405.46609,2368.2370550000005,2412.08147,2876.511153000001,2842.392199000001,2906.633689,2060.5149499999998,2058.4031,2070.5499499999996,2324.1187000000004,2307.077105,2340.71434,2429.4788450000005,2405.468099,2455.1525540000002,2668.86805,2664.0963,2681.81505,3014.4313699999993,2998.0501649999997,3016.0311449999995,3101.8170079999995,3090.923066,3135.9932169999997,0.764,0.7,0.772,0.0,0.0,0.0,PASS
