op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,commit_ms,rawerk_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,projection_ok,candidate_count
r0_measured_02814,cassandra-base,8,0,lr000005::conv-50_qa_29,lr000005::conv-50,lr000005::conv-50_session_5_D5:9,5.6006,16.0698,48.1642,116.0669,17.3459,11.4927,0.5823,0.3875,,0,1,566
r0_measured_02882,cassandra-base,8,0,lr000006::conv-48_qa_180,lr000006::conv-48,lr000006::conv-48_session_28_D28:7,4.4,92.8457,128.9701,280.5878,29.1378,10.8364,0.4579,0.3533,,0,1,681
r0_measured_02900,cassandra-base,8,0,lr000007::conv-41_qa_4,lr000007::conv-41,lr000007::conv-41_session_3_D3:1,7.6097,33.7026,88.8316,141.6576,21.6499,16.8408,0.8325,0.5872,181.6387,1,1,663
r0_measured_02901,cassandra-base,8,0,lr000001::conv-48_qa_14,lr000001::conv-48,lr000001::conv-48_session_2_D2:17,6.2301,17.0063,84.1939,140.8344,21.8841,8.4722,1.995,0.3757,173.626,1,1,681
r0_measured_02922,cassandra-base,8,0,lr000001::conv-26_qa_86,lr000001::conv-26,lr000001::conv-26_session_2_D2:12,7.0613,17.8891,39.3052,47.0645,14.6114,5.3806,0.2789,0.3557,67.7385,1,1,419
r0_measured_02948,cassandra-base,8,0,lr000013::conv-43_qa_167,lr000013::conv-43,lr000013::conv-43_session_27_D27:24,7.807,30.0291,70.771,215.4834,7.3148,12.174,0.8072,0.379,236.2218,1,1,680
r0_measured_02960,cassandra-base,8,0,lr000010::conv-44_qa_14,lr000010::conv-44,lr000010::conv-44_session_3_D3:7,9.6681,27.979,92.2243,153.8678,6.5348,6.8564,1.8917,0.4721,169.6949,1,1,675
r0_measured_02971,cassandra-base,8,0,lr000011::conv-43_qa_55,lr000011::conv-43,lr000011::conv-43_session_1_D1:3,22.1961,35.441,70.9128,128.5648,7.5178,10.5975,1.316,0.3752,148.4361,1,1,680
r0_measured_02982,cassandra-base,8,0,lr000006::conv-47_qa_0,lr000006::conv-47,lr000006::conv-47_session_1_D1:27,3.3258,11.1701,38.6082,49.5551,5.8414,2.5426,1.4909,0.4048,,0,1,689
r0_measured_03000,cassandra-base,8,0,lr000008::conv-26_qa_139,lr000008::conv-26,lr000008::conv-26_session_17_D17:18,6.9695,18.5665,54.0242,258.9758,5.495,2.1508,0.2794,0.3583,,0,1,419
r0_measured_03040,cassandra-base,8,0,lr000003::conv-41_qa_129,lr000003::conv-41,lr000003::conv-41_session_25_D25:14,7.8956,16.2495,57.1107,78.5984,12.1116,11.4369,0.5413,0.3535,103.1154,1,1,661
r0_measured_03068,cassandra-base,8,0,lr000008::conv-47_qa_149,lr000008::conv-47,lr000008::conv-47_session_31_D31:22,9.2928,24.0417,62.6544,211.785,11.7548,5.245,1.3564,0.4178,230.6268,1,1,687
r0_measured_03108,cassandra-base,8,0,lr000006::conv-43_qa_15,lr000006::conv-43,lr000006::conv-43_session_4_D4:8,7.7461,16.8314,57.5409,94.4884,11.0656,2.6124,0.4887,0.3678,109.0904,1,1,679
r0_measured_03187,cassandra-base,8,0,lr000003::conv-44_qa_119,lr000003::conv-44,lr000003::conv-44_session_27_D27:10,15.3741,35.1501,101.5884,179.6162,7.122,15.9399,0.7854,0.3747,203.9061,1,1,675
r0_measured_03194,cassandra-base,8,0,lr000001::conv-44_qa_78,lr000001::conv-44,lr000001::conv-44_session_9_D9:23,8.9322,39.4685,76.2236,153.03,5.9972,12.2285,0.4311,0.3695,172.121,1,1,675
r0_measured_03215,cassandra-base,8,0,lr000009::conv-30_qa_53,lr000009::conv-30,lr000009::conv-30_session_3_D3:8,3.8387,15.8058,38.461,44.1334,11.1034,3.2868,0.2592,0.3622,59.2001,1,1,368
r0_measured_03275,cassandra-base,8,0,lr000004::conv-49_qa_34,lr000004::conv-49,lr000004::conv-49_session_7_D7:1,7.8034,21.5089,53.8374,247.41,40.9535,5.8949,0.5492,0.4086,295.2822,1,1,509
r0_measured_03303,cassandra-base,8,0,lr000008::conv-47_qa_2,lr000008::conv-47,lr000008::conv-47_session_1_D1:36,3.8769,13.462,55.1744,160.4759,36.5481,13.2274,0.6004,0.4127,,0,1,688
r0_measured_03318,cassandra-base,8,0,lr000006::conv-43_qa_0,lr000006::conv-43,lr000006::conv-43_session_1_D1:9,5.3874,27.6861,69.3212,91.6441,14.4874,7.1943,0.8555,0.3513,114.5991,1,1,680
r0_measured_03375,cassandra-base,8,0,lr000000::conv-44_qa_5,lr000000::conv-44,lr000000::conv-44_session_4_D4:1,6.488,36.2745,111.5427,235.7103,11.3011,1.7066,0.9868,0.5487,250.3486,1,1,675
r0_measured_03376,cassandra-base,8,0,lr000016::conv-50_qa_155,lr000016::conv-50,lr000016::conv-50_session_30_D30:4,5.1964,12.9159,99.5341,232.7134,9.8892,10.2587,0.4778,0.4287,253.8384,1,1,567
r0_measured_03382,cassandra-base,8,0,lr000001::conv-50_qa_29,lr000001::conv-50,lr000001::conv-50_session_5_D5:9,35.8436,55.341,88.6179,206.5526,12.378,8.6617,0.43,0.3952,,0,1,568
r0_measured_03411,cassandra-base,8,0,lr000001::conv-47_qa_94,lr000001::conv-47,lr000001::conv-47_session_13_D13:8,6.1719,17.4112,54.9182,84.6474,6.4698,8.3709,0.568,0.4714,,0,1,689
r0_measured_03434,cassandra-base,8,0,lr000013::conv-47_qa_138,lr000013::conv-47,lr000013::conv-47_session_27_D27:6,7.4676,17.3984,134.8413,322.9988,7.139,4.048,1.2825,0.3355,335.8677,1,1,689
