op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,commit_ms,rawerk_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,projection_ok,candidate_count
r2_measured_04119,neo4j-native,16,2,lr000013::conv-42_qa_181,lr000013::conv-42,lr000013::conv-42_session_26_D26:18,5.3501,11.0741,46.2928,182.2652,522.0567,12.6703,0.4755,0.3385,717.8857,1,1,627
r2_measured_04121,neo4j-native,16,2,lr000001::conv-42_qa_166,lr000001::conv-42,lr000001::conv-42_session_23_D23:18,4.5758,7.6864,39.5406,149.6883,524.6974,8.286,0.5863,0.3471,683.6831,1,1,629
r2_measured_04127,neo4j-native,16,2,lr000014::conv-42_qa_54,lr000014::conv-42,lr000014::conv-42_session_25_D25:1,4.7171,6.9786,37.8967,184.3608,488.6467,8.9945,0.4974,0.3431,,0,1,629
r2_measured_04140,neo4j-native,16,2,lr000014::conv-30_qa_19,lr000014::conv-30,lr000014::conv-30_session_11_D11:14,5.173,8.7159,26.6812,93.6341,292.9037,0.6431,0.245,0.3458,387.8258,1,1,369
r2_measured_04143,neo4j-native,16,2,lr000012::conv-44_qa_43,lr000012::conv-44,lr000012::conv-44_session_11_D11:9,4.409,7.7354,36.1518,148.7803,495.6675,3.8939,0.5961,0.3472,,0,1,674
r2_measured_04172,neo4j-native,16,2,lr000004::conv-47_qa_101,lr000004::conv-47,lr000004::conv-47_session_16_D16:8,4.4384,7.1552,35.9119,173.7761,492.1741,6.6148,0.7358,0.3521,673.7321,1,1,688
r2_measured_04175,neo4j-native,16,2,lr000016::conv-44_qa_16,lr000016::conv-44,lr000016::conv-44_session_11_D11:7,4.9229,8.3052,38.792,150.9766,530.6101,4.3039,0.5739,0.3293,,0,1,675
r2_measured_04221,neo4j-native,16,2,lr000010::conv-42_qa_26,lr000010::conv-42,lr000010::conv-42_session_14_D14:8,4.1482,7.6011,38.2737,140.7801,564.6596,4.1266,0.629,0.3598,710.6278,1,1,627
r2_measured_04233,neo4j-native,16,2,lr000015::conv-44_qa_120,lr000015::conv-44,lr000015::conv-44_session_27_D27:14,3.5281,6.9938,43.9302,198.4065,552.8755,9.923,0.752,0.4359,762.4866,1,1,675
r2_measured_04235,neo4j-native,16,2,lr000000::conv-26_qa_47,lr000000::conv-26,lr000000::conv-26_session_12_D12:1,5.9829,8.4242,37.9068,113.2339,359.6966,1.144,0.3086,0.4194,,0,1,419
r2_measured_04256,neo4j-native,16,2,lr000009::conv-48_qa_8,lr000009::conv-48,lr000009::conv-48_session_1_D1:15,4.9479,7.8268,39.4425,145.5801,640.3824,5.4263,0.62,0.37,792.4577,1,1,681
r2_measured_04265,neo4j-native,16,2,lr000000::conv-42_qa_6,lr000000::conv-42,lr000000::conv-42_session_2_D2:12,4.7019,9.4519,80.8176,196.8354,487.1724,6.4904,0.6577,0.3552,,0,1,629
r2_measured_04272,neo4j-native,16,2,lr000001::conv-26_qa_45,lr000001::conv-26,lr000001::conv-26_session_11_D11:4,4.0258,6.3071,28.3118,102.3201,326.4864,2.5662,0.3254,0.3629,432.132,1,1,419
r2_measured_04277,neo4j-native,16,2,lr000009::conv-42_qa_182,lr000009::conv-42,lr000009::conv-42_session_26_D26:5,4.0725,8.1377,39.7646,150.1762,520.8595,10.2179,0.6541,0.3839,682.3791,1,1,629
r2_measured_04299,neo4j-native,16,2,lr000003::conv-42_qa_57,lr000003::conv-42,lr000003::conv-42_session_26_D26:19,5.1006,8.8597,38.5854,136.7612,491.0255,12.2051,0.4818,0.3836,,0,1,629
r2_measured_04379,neo4j-native,16,2,lr000015::conv-42_qa_26,lr000015::conv-42,lr000015::conv-42_session_14_D14:8,4.4094,9.1323,41.2729,152.3458,509.7732,3.6469,0.5575,0.4264,666.8157,1,1,629
r2_measured_04390,neo4j-native,16,2,lr000003::conv-49_qa_21,lr000003::conv-49,lr000003::conv-49_session_5_D5:1,3.8281,7.8402,33.6997,125.4383,394.1998,7.3973,0.5518,0.37,528.0375,1,1,508
r2_measured_04411,neo4j-native,16,2,lr000003::conv-48_qa_51,lr000003::conv-48,lr000003::conv-48_session_14_D14:4,3.3746,6.2968,35.5382,142.1403,519.0975,7.4989,0.5472,0.389,669.7624,1,1,681
r2_measured_04437,neo4j-native,16,2,lr000013::conv-42_qa_13,lr000013::conv-42,lr000013::conv-42_session_6_D6:2,4.0453,7.1573,38.4923,151.9435,446.1644,6.3903,0.7863,0.3617,605.7337,1,1,628
r2_measured_04478,neo4j-native,16,2,lr000012::conv-44_qa_112,lr000012::conv-44,lr000012::conv-44_session_25_D25:3,3.5529,7.2864,38.2872,151.5871,495.2786,9.4979,0.7148,0.3496,657.5108,1,1,675
r2_measured_04530,neo4j-native,16,2,lr000000::conv-47_qa_117,lr000000::conv-47,lr000000::conv-47_session_22_D22:7,5.6513,10.2021,46.7583,157.1939,544.5741,4.1887,0.5691,0.3429,706.9631,1,1,689
r2_measured_04540,neo4j-native,16,2,lr000015::conv-43_qa_164,lr000015::conv-43,lr000015::conv-43_session_27_D27:6,3.6719,6.7684,75.0936,176.6755,548.2409,7.0814,1.074,0.3661,733.5221,1,1,680
r2_measured_04553,neo4j-native,16,2,lr000013::conv-43_qa_177,lr000013::conv-43,lr000013::conv-43_session_29_D29:12,5.1798,8.3232,38.8867,159.3361,574.3384,7.9301,0.6559,0.3603,742.7006,1,1,680
r2_measured_04561,neo4j-native,16,2,lr000015::conv-26_qa_123,lr000015::conv-26,lr000015::conv-26_session_13_D13:3,4.9613,8.4696,34.8061,107.2183,350.8666,1.8308,0.2613,0.3329,460.5616,1,1,419
r2_measured_04566,neo4j-native,16,2,lr000013::conv-42_qa_186,lr000013::conv-42,lr000013::conv-42_session_28_D28:1,3.2797,5.2102,35.3895,147.0038,482.2881,5.0785,0.5256,0.3545,635.3241,1,1,629
r2_measured_04583,neo4j-native,16,2,lr000009::conv-44_qa_57,lr000009::conv-44,lr000009::conv-44_session_28_D28:6,3.7054,7.5144,34.6364,175.0296,539.1645,4.9553,0.5588,0.4142,720.2244,1,1,674
r2_measured_04587,neo4j-native,16,2,lr000009::conv-43_qa_125,lr000009::conv-43,lr000009::conv-43_session_15_D15:11,5.0064,8.0359,40.8581,149.9725,555.5501,8.4693,0.9618,0.346,715.372,1,1,680
