op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,commit_ms,rawerk_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,projection_ok,candidate_count
r2_measured_02412,cassandra-materialized,1,2,lr000009::conv-47_qa_138,lr000009::conv-47,lr000009::conv-47_session_27_D27:6,7.7066,21.0393,43.295,45.8024,12.5279,0.5669,0.3612,0.2953,59.6143,1,1,689
r2_measured_02480,cassandra-materialized,1,2,lr000006::conv-50_qa_146,lr000006::conv-50,lr000006::conv-50_session_28_D28:40,15.6277,31.3208,51.4755,53.2901,7.1239,0.531,0.3178,0.2978,61.6205,1,1,568
r2_measured_02492,cassandra-materialized,1,2,lr000003::conv-41_qa_13,lr000003::conv-41,lr000003::conv-41_session_8_D8:1,6.8853,16.8269,42.6466,45.6097,13.647,0.6646,0.4233,0.3756,60.7905,1,1,663
r2_measured_02517,cassandra-materialized,1,2,lr000014::conv-41_qa_59,lr000014::conv-41,lr000014::conv-41_session_30_D30:6,14.0885,37.866,59.0434,64.8658,13.9716,1.0334,0.6564,0.566,81.2066,1,1,662
r2_measured_02547,cassandra-materialized,1,2,lr000007::conv-42_qa_77,lr000007::conv-42,lr000007::conv-42_session_10_D10:4,8.753,18.9485,38.4817,41.2128,7.5518,0.6339,0.4055,0.3972,50.2671,1,1,629
r2_measured_02556,cassandra-materialized,1,2,lr000004::conv-42_qa_174,lr000004::conv-42,lr000004::conv-42_session_24_D24:3,9.1839,18.0678,36.1131,38.9239,9.8243,0.5429,0.3677,0.3852,,0,1,629
r2_measured_02568,cassandra-materialized,1,2,lr000012::conv-43_qa_100,lr000012::conv-43,lr000012::conv-43_session_9_D9:4,15.2462,25.474,50.3407,52.5177,12.4762,0.6045,0.376,0.2992,66.3442,1,1,680
r2_measured_02575,cassandra-materialized,1,2,lr000001::conv-48_qa_138,lr000001::conv-48,lr000001::conv-48_session_15_D15:3,2.3676,18.7742,41.238,43.4681,9.2024,0.6702,0.4072,0.3277,54.1447,1,1,679
r2_measured_02582,cassandra-materialized,1,2,lr000003::conv-47_qa_71,lr000003::conv-47,lr000003::conv-47_session_2_D2:19,4.9222,17.3071,37.4228,39.697,12.1617,0.6355,0.439,0.3775,53.3914,1,1,688
r2_measured_02620,cassandra-materialized,1,2,lr000009::conv-49_qa_140,lr000009::conv-49,lr000009::conv-49_session_21_D21:16,6.2156,17.4566,34.2737,36.1316,11.3767,0.5028,0.286,0.3172,48.6667,1,1,505
r2_measured_02661,cassandra-materialized,1,2,lr000014::conv-44_qa_30,lr000014::conv-44,lr000014::conv-44_session_20_D20:1,7.668,16.9073,38.856,41.4835,10.2613,0.6474,0.436,0.3616,53.2647,1,1,675
r2_measured_02665,cassandra-materialized,1,2,lr000007::conv-41_qa_133,lr000007::conv-41,lr000007::conv-41_session_27_D27:9,14.8521,30.0268,80.3765,82.6448,13.3198,0.5686,0.372,0.309,97.2769,1,1,661
r2_measured_02676,cassandra-materialized,1,2,lr000007::conv-50_qa_154,lr000007::conv-50,lr000007::conv-50_session_30_D30:2,10.2517,22.2587,42.7822,44.7883,9.3916,0.7122,0.422,0.4471,55.839,1,1,567
r2_measured_02691,cassandra-materialized,1,2,lr000012::conv-30_qa_11,lr000012::conv-30,lr000012::conv-30_session_5_D5:15,16.8342,35.5907,50.6462,51.8698,12.6145,0.4657,0.2656,0.379,65.6492,1,1,369
r2_measured_02761,cassandra-materialized,1,2,lr000006::conv-49_qa_17,lr000006::conv-49,lr000006::conv-49_session_4_D4:1,3.7749,15.8125,31.3547,33.0316,10.8301,0.4951,0.2758,0.3236,45.0102,1,1,509
r2_measured_02762,cassandra-materialized,1,2,lr000002::conv-30_qa_41,lr000002::conv-30,lr000002::conv-30_session_1_D1:17,14.1183,28.6857,40.9851,42.9024,4.7135,0.4841,0.2446,0.3763,48.7728,1,1,369
r2_measured_02789,cassandra-materialized,1,2,lr000011::conv-41_qa_101,lr000011::conv-41,lr000011::conv-41_session_16_D16:2,19.4001,30.0662,52.4114,54.9585,20.7662,0.777,0.5311,0.404,77.5153,1,1,663
r2_measured_02794,cassandra-materialized,1,2,lr000012::conv-41_qa_116,lr000012::conv-41,lr000012::conv-41_session_21_D21:5,11.5425,25.2631,46.7682,48.9927,7.5315,0.5731,0.3636,0.3101,57.8348,1,1,663
r2_measured_02799,cassandra-materialized,1,2,lr000001::conv-47_qa_0,lr000001::conv-47,lr000001::conv-47_session_1_D1:27,12.3661,26.8878,47.4579,49.7951,11.0784,0.6452,0.3862,0.3168,,0,1,689
r2_measured_02814,cassandra-materialized,1,2,lr000014::conv-42_qa_153,lr000014::conv-42,lr000014::conv-42_session_20_D20:15,2.0805,12.3681,31.8591,33.8839,9.7195,0.6801,0.4655,0.3707,45.1922,1,1,628
r2_measured_02882,cassandra-materialized,1,2,lr000013::conv-47_qa_28,lr000013::conv-47,lr000013::conv-47_session_15_D15:9,3.7522,17.6771,37.059,39.3614,5.9872,0.5428,0.3659,0.3195,46.6413,1,1,689
r2_measured_02945,cassandra-materialized,1,2,lr000010::conv-43_qa_31,lr000010::conv-43,lr000010::conv-43_session_10_D10:9,14.4805,26.0106,47.6028,50.9541,25.5597,0.6903,0.3949,0.3229,78.0001,1,1,680
r2_measured_02977,cassandra-materialized,1,2,lr000005::conv-48_qa_31,lr000005::conv-48,lr000005::conv-48_session_6_D6:8,9.1888,17.2184,37.2864,39.5946,8.2707,0.6345,0.3877,0.3065,49.2587,1,1,680
r2_measured_02993,cassandra-materialized,1,2,lr000006::conv-43_qa_164,lr000006::conv-43,lr000006::conv-43_session_27_D27:6,12.3959,24.7932,48.747,51.5506,9.5906,0.6092,0.3919,0.3272,62.5413,1,1,680
