cell,concurrency,repetition,events,hits,fresh_hit_at_10,projection_ok_rate,time_to_top10_observations,stale_or_missed_top10_rate,fresh_hit_at_10_within_50ms,fresh_hit_at_10_within_100ms,fresh_hit_at_10_within_250ms,fresh_hit_at_10_within_500ms,fresh_hit_at_10_within_1000ms,commit_ms_p50,commit_ms_p95,commit_ms_p99,rawerk_visible_ms_p50,rawerk_visible_ms_p95,rawerk_visible_ms_p99,sparse_index_visible_ms_p50,sparse_index_visible_ms_p95,sparse_index_visible_ms_p99,dense_index_visible_ms_p50,dense_index_visible_ms_p95,dense_index_visible_ms_p99,backend_commit_ms_p50,backend_commit_ms_p95,backend_commit_ms_p99,structured_view_after_commit_ms_p50,structured_view_after_commit_ms_p95,structured_view_after_commit_ms_p99,sparse_index_update_ms_p50,sparse_index_update_ms_p95,sparse_index_update_ms_p99,dense_index_update_ms_p50,dense_index_update_ms_p95,dense_index_update_ms_p99,candidate_fetch_ms_p50,candidate_fetch_ms_p95,candidate_fetch_ms_p99,sparse_scoring_ms_p50,sparse_scoring_ms_p95,sparse_scoring_ms_p99,dense_scoring_ms_p50,dense_scoring_ms_p95,dense_scoring_ms_p99,zscore_fusion_ms_p50,zscore_fusion_ms_p95,zscore_fusion_ms_p99,retrieval_after_dense_ms_p50,retrieval_after_dense_ms_p95,retrieval_after_dense_ms_p99,end_to_end_attempt_ms_p50,end_to_end_attempt_ms_p95,end_to_end_attempt_ms_p99,time_to_top10_ms_p50_hits_only,time_to_top10_ms_p95_hits_only,time_to_top10_ms_p99_hits_only
neo4j-native,1,0,250,175,0.7,1.0,175,0.3,0.616,0.696,0.7,0.7,0.7,4.5677,6.1302,10.0342,5.9751,7.7428,11.3486,27.237,32.4005,76.0366,29.63,35.2794,78.8554,4.5677,6.1302,10.0342,1.3739,1.7799,2.0842,21.287,26.3422,33.0991,2.4209,2.856,3.1928,12.8401,15.3124,16.3259,0.6797,0.786,0.8565,0.4339,0.5301,0.5451,0.3779,0.4248,0.5019,14.3478,16.9888,18.0627,44.4275,51.3249,95.4071,44.7411,52.9814,97.4341
neo4j-native,1,1,250,191,0.764,1.0,191,0.236,0.756,0.764,0.764,0.764,0.764,3.9427,5.6012,7.811,5.0806,6.8916,9.2117,24.4256,28.4575,30.609,26.7615,31.1067,33.267,3.9427,5.6012,7.811,1.1628,1.4569,1.6649,19.1904,22.938,24.1881,2.2379,2.6231,3.2312,11.9742,14.0103,14.9173,0.5991,0.7147,0.822,0.385,0.4617,0.5375,0.3453,0.4014,0.4958,13.3485,15.5126,16.3718,40.2146,45.7358,48.1386,40.2084,45.6429,47.9771
neo4j-native,1,2,250,193,0.772,1.0,193,0.228,0.756,0.772,0.772,0.772,0.772,3.8263,4.9899,5.7984,4.9667,6.1777,7.0989,24.1722,28.7095,31.7746,26.3489,31.4602,34.8964,3.8263,4.9899,5.7984,1.1259,1.4169,1.6119,19.4602,23.2122,26.3948,2.3102,2.7583,3.0515,12.1791,14.0838,15.3597,0.5893,0.7175,0.8271,0.3815,0.468,0.5568,0.3372,0.3964,0.5091,13.4818,15.5502,16.9391,40.1003,46.6903,52.3106,40.3307,46.9213,53.1427
neo4j-native,8,0,250,175,0.7,1.0,175,0.3,0.0,0.0,0.068,0.7,0.7,4.4028,6.2109,7.7421,6.8049,9.4937,11.5112,35.8813,46.3423,85.8261,89.5675,122.1797,150.4162,4.4028,6.2109,7.7421,2.3083,4.1176,5.321,29.0072,38.0064,80.3468,52.8518,78.0237,86.87,256.0628,320.0901,360.7142,3.3471,6.7499,8.5309,0.5731,0.863,1.457,0.3843,0.4685,0.6374,260.4847,325.6259,364.5337,352.2283,433.1014,473.556,355.4144,432.7711,444.2562
neo4j-native,8,1,250,191,0.764,1.0,191,0.236,0.0,0.0,0.124,0.764,0.764,4.0861,5.4374,6.0389,6.1966,8.4618,23.8894,32.9374,73.1956,87.2033,85.1757,121.973,136.7982,4.0861,5.4374,6.0389,2.0226,3.6555,21.4983,26.5448,65.814,73.9836,50.6475,71.3294,84.31,229.0938,275.2972,315.8406,3.154,6.5537,10.6274,0.5187,0.791,1.5199,0.3571,0.4313,0.5932,234.4785,279.3924,319.3875,324.8696,374.7644,409.4785,324.3648,373.2288,411.0621
neo4j-native,8,2,250,193,0.772,1.0,193,0.228,0.0,0.0,0.088,0.768,0.772,3.9875,5.5286,6.5114,6.1685,8.7146,10.9404,34.0846,68.8123,85.8462,86.1864,120.8937,137.9725,3.9875,5.5286,6.5114,2.1188,3.4315,4.8176,27.7362,63.5235,77.9652,50.4689,75.4252,91.443,239.5221,321.6375,382.1338,3.4706,7.7679,10.0715,0.5075,0.8477,1.2362,0.3571,0.5585,0.9219,244.5096,326.5201,387.9906,333.4299,437.1695,488.1893,335.5135,440.322,483.2353
neo4j-native,16,0,250,175,0.7,1.0,175,0.3,0.0,0.0,0.0,0.092,0.7,4.5085,6.6126,7.9829,7.9365,11.88,17.518,38.6701,71.9863,88.226,151.046,201.006,221.4188,4.5085,6.6126,7.9829,3.3379,5.8715,8.2371,30.6773,61.8997,77.5543,109.7041,147.9617,167.1458,501.8293,603.3466,660.7487,5.9762,12.6469,32.0255,0.5827,1.4237,1.9457,0.3641,0.4493,1.0306,507.9351,611.9797,668.0015,666.5521,783.3777,845.7979,666.4918,784.8664,828.6463
neo4j-native,16,1,250,191,0.764,1.0,191,0.236,0.0,0.0,0.0,0.0,0.088,12.756,34.8659,43.4604,23.7445,48.9237,86.042,103.5763,217.0981,296.5639,332.3125,635.6661,786.4515,12.756,34.8659,43.4604,8.1602,18.0013,48.8501,71.6589,184.4516,259.9394,222.6318,458.9057,519.6159,1142.3247,2134.6742,2331.3401,14.2622,37.5775,47.9626,1.501,3.9082,4.8941,0.8403,2.0418,2.7495,1154.5217,2179.024,2369.283,1480.228,2790.6386,2997.1721,1491.0225,2829.2353,3009.0735
neo4j-native,16,2,250,193,0.772,1.0,193,0.228,0.0,0.0,0.0,0.116,0.772,4.6031,5.9813,10.2132,7.946,11.0326,24.6721,38.2523,74.6395,84.8714,149.8304,191.2284,212.0745,4.6031,5.9813,10.2132,3.319,5.2536,11.5052,30.3113,68.1094,76.4317,109.7509,139.9404,161.0652,487.4968,589.6039,633.8903,5.6118,11.3772,14.6678,0.5705,0.9953,1.6131,0.3525,0.4313,0.4698,496.5605,596.7365,639.6914,657.3462,760.7914,797.9778,663.3926,766.4922,804.0904
neo4j-native,32,0,250,175,0.7,1.0,175,0.3,0.0,0.0,0.0,0.0,0.1,5.5603,8.8889,10.8081,11.1536,17.6233,34.6471,49.4943,100.4889,120.1207,272.5035,356.6318,389.0108,5.5603,8.8889,10.8081,5.4579,9.5849,29.6118,37.5687,88.3719,97.7079,222.5953,281.4481,319.5347,1013.1976,1169.9191,1209.3445,11.5463,24.3694,35.4133,0.7195,1.9479,2.5011,0.3666,0.5468,0.9341,1027.1698,1176.5911,1223.6422,1316.6388,1484.3431,1549.9786,1319.1253,1487.0915,1525.51
neo4j-native,32,1,250,191,0.764,1.0,191,0.236,0.0,0.0,0.0,0.0,0.08,6.489,12.1259,27.8925,14.1277,32.0099,43.1177,57.9711,112.6193,145.4047,308.9817,392.8724,471.3314,6.489,12.1259,27.8925,7.3793,13.3464,31.4389,43.6135,93.2056,118.1106,247.594,299.9689,363.8245,1171.6015,1486.4728,1694.8706,11.8056,26.2501,38.3812,0.8483,2.0832,3.3511,0.4005,0.4965,0.7022,1186.1287,1506.003,1731.8942,1505.0717,1833.2273,2175.0484,1505.8157,1844.4275,2124.6367
neo4j-native,32,2,250,193,0.772,1.0,193,0.228,0.0,0.0,0.0,0.0,0.104,5.8287,8.6195,9.7073,12.3443,17.4875,31.2268,50.7066,98.6176,115.8185,284.3381,363.4488,378.6638,5.8287,8.6195,9.7073,6.1312,10.1296,26.6899,38.5805,86.6932,102.4483,229.1427,291.2006,314.1965,1047.3311,1207.7279,1250.0458,10.885,24.9994,35.1287,0.7226,2.2112,3.051,0.3698,0.478,0.7778,1067.0763,1217.0306,1262.6702,1354.6431,1546.0965,1609.0575,1371.9161,1548.1562,1608.8274
neo4j-native,64,0,250,175,0.7,1.0,175,0.3,0.0,0.0,0.0,0.0,0.0,8.8269,16.4428,73.4701,20.6063,38.0353,87.3592,76.8398,149.0565,178.6974,563.3447,679.3833,762.6092,8.8269,16.4428,73.4701,11.1116,19.9974,36.3136,55.8113,122.2199,156.5276,476.7207,571.5202,660.5118,2087.7936,2339.8978,2444.8398,21.4228,44.8277,72.2492,0.9832,3.8811,6.5327,0.3759,0.544,1.1594,2116.7269,2370.1109,2465.352,2699.5264,2991.8089,3143.1608,2718.2934,2960.5499,3123.0251
neo4j-native,64,1,250,191,0.764,1.0,191,0.236,0.0,0.0,0.0,0.0,0.0,10.5221,19.6882,35.4975,24.4712,46.319,67.0103,87.749,148.8878,179.3624,606.156,744.5116,832.2298,10.5221,19.6882,35.4975,13.4833,25.6116,42.8574,60.4099,123.0793,144.0103,502.7105,630.9018,713.8344,2347.6502,3153.7382,3344.9449,22.8953,57.5077,85.1038,1.1239,4.3032,6.7768,0.4015,0.5132,0.93,2386.5028,3193.5645,3386.3413,2996.147,3901.62,4091.5437,2993.0977,3917.7378,4096.4324
neo4j-native,64,2,250,193,0.772,1.0,193,0.228,0.0,0.0,0.0,0.0,0.0,9.3024,18.8682,32.4241,21.5493,42.183,80.6311,77.9813,146.8153,184.7856,556.6606,705.9171,767.8455,9.3024,18.8682,32.4241,11.7984,20.4382,71.1702,55.1234,122.8409,162.5374,472.299,591.1423,620.0111,2098.2566,2691.4406,2934.3225,21.7091,45.8676,73.0201,1.1161,3.9373,5.3949,0.3769,0.4661,0.7469,2121.6314,2722.1246,2969.6852,2703.4537,3408.5038,3647.5891,2710.122,3424.2252,3657.8464
