cell,concurrency,rank_by_mean,stage,mean_ms,share_of_mean_pipeline,p50_ms,p95_ms,p99_ms
neo4j-materialized,16,2,dense_index_update_ms,166.1603,0.1629,119.94,422.0674,508.1039
neo4j-materialized,16,3,sparse_index_update_ms,53.1171,0.0521,34.1676,123.6612,224.5926
neo4j-materialized,16,4,backend_commit_ms,10.1178,0.0099,5.0793,31.82,36.6221
neo4j-materialized,16,5,sparse_scoring_ms,9.8782,0.0097,7.3515,26.6328,43.2613
neo4j-materialized,16,6,structured_view_after_commit_ms,6.2528,0.0061,4.1181,15.522,29.6069
neo4j-materialized,16,7,dense_scoring_ms,1.0724,0.0011,0.7283,2.7842,4.1151
neo4j-materialized,16,8,zscore_fusion_ms,0.616,0.0006,0.3851,1.4097,2.3932
neo4j-materialized,32,1,candidate_fetch_ms,995.6121,0.772,1042.4768,1261.0355,1332.6367
neo4j-materialized,32,2,dense_index_update_ms,225.3344,0.1747,229.1637,299.3169,336.3217
neo4j-materialized,32,3,sparse_index_update_ms,41.919,0.0325,38.8918,82.4518,101.1467
neo4j-materialized,32,4,sparse_scoring_ms,12.0996,0.0094,11.2887,23.4634,37.4862
neo4j-materialized,32,5,backend_commit_ms,6.6824,0.0052,5.7406,9.051,37.2317
neo4j-materialized,32,6,structured_view_after_commit_ms,6.6343,0.0051,5.962,10.1266,17.2675
neo4j-materialized,32,7,dense_scoring_ms,0.887,0.0007,0.7682,1.8368,2.9321
neo4j-materialized,32,8,zscore_fusion_ms,0.4434,0.0003,0.371,0.4618,0.7567
neo4j-materialized,64,1,candidate_fetch_ms,2043.1406,0.7818,2112.7422,2611.2202,3336.7902
neo4j-materialized,64,2,dense_index_update_ms,460.5578,0.1762,468.8699,599.1351,742.7598
neo4j-materialized,64,3,sparse_index_update_ms,62.4928,0.0239,55.1072,117.9543,145.2226
neo4j-materialized,64,4,sparse_scoring_ms,22.4207,0.0086,20.9041,46.8853,65.1228
neo4j-materialized,64,5,structured_view_after_commit_ms,12.9066,0.0049,11.4611,21.8826,37.8817
neo4j-materialized,64,6,backend_commit_ms,10.1872,0.0039,9.0743,17.0967,32.7693
neo4j-materialized,64,7,dense_scoring_ms,1.3508,0.0005,1.0351,3.4622,5.4811
neo4j-materialized,64,8,zscore_fusion_ms,0.4046,0.0002,0.3758,0.5108,1.0383
neo4j-native,1,1,sparse_index_update_ms,19.6708,0.4826,19.8694,24.6879,29.3647
neo4j-native,1,2,candidate_fetch_ms,11.9411,0.293,12.2838,14.645,15.8863
neo4j-native,1,3,backend_commit_ms,4.2892,0.1052,4.0583,5.7567,8.1009
neo4j-native,1,4,dense_index_update_ms,2.2413,0.055,2.3192,2.8026,3.1866
neo4j-native,1,5,structured_view_after_commit_ms,1.2524,0.0307,1.2143,1.6304,1.8922
neo4j-native,1,6,sparse_scoring_ms,0.6186,0.0152,0.6194,0.7615,0.842
neo4j-native,1,7,dense_scoring_ms,0.3877,0.0095,0.398,0.5099,0.5519
neo4j-native,1,8,zscore_fusion_ms,0.3595,0.0088,0.3521,0.4178,0.5129
neo4j-native,8,1,candidate_fetch_ms,235.5559,0.7191,239.8881,315.7112,352.7559
neo4j-native,8,2,dense_index_update_ms,51.09,0.156,51.0364,74.1016,90.6475
neo4j-native,8,3,sparse_index_update_ms,29.554,0.0902,27.6728,62.7352,78.7258
neo4j-native,8,4,backend_commit_ms,4.2405,0.0129,4.1559,5.7343,6.8293
neo4j-native,8,5,sparse_scoring_ms,3.6239,0.0111,3.3155,7.1556,9.7818
neo4j-native,8,6,structured_view_after_commit_ms,2.5442,0.0078,2.1304,3.7911,5.321
neo4j-native,8,7,dense_scoring_ms,0.5706,0.0017,0.5287,0.8347,1.3603
neo4j-native,8,8,zscore_fusion_ms,0.3832,0.0012,0.3684,0.4638,0.8134
neo4j-native,16,1,candidate_fetch_ms,751.5346,0.7596,535.7344,1930.7374,2257.553
neo4j-native,16,2,dense_index_update_ms,160.5048,0.1622,119.796,400.1063,484.2429
neo4j-native,16,3,sparse_index_update_ms,51.0267,0.0516,33.6515,125.6398,217.7644
neo4j-native,16,4,sparse_scoring_ms,9.6332,0.0097,7.2748,26.9616,40.9223
