cell,concurrency,events,hits,fresh_hit_at_10,projection_ok_rate,time_to_top10_observations,stale_or_missed_top10_rate,fresh_hit_at_10_within_50ms,fresh_hit_at_10_within_100ms,fresh_hit_at_10_within_250ms,fresh_hit_at_10_within_500ms,fresh_hit_at_10_within_1000ms,commit_ms_p50,commit_ms_p95,commit_ms_p99,rawerk_visible_ms_p50,rawerk_visible_ms_p95,rawerk_visible_ms_p99,sparse_index_visible_ms_p50,sparse_index_visible_ms_p95,sparse_index_visible_ms_p99,dense_index_visible_ms_p50,dense_index_visible_ms_p95,dense_index_visible_ms_p99,backend_commit_ms_p50,backend_commit_ms_p95,backend_commit_ms_p99,structured_view_after_commit_ms_p50,structured_view_after_commit_ms_p95,structured_view_after_commit_ms_p99,sparse_index_update_ms_p50,sparse_index_update_ms_p95,sparse_index_update_ms_p99,dense_index_update_ms_p50,dense_index_update_ms_p95,dense_index_update_ms_p99,candidate_fetch_ms_p50,candidate_fetch_ms_p95,candidate_fetch_ms_p99,sparse_scoring_ms_p50,sparse_scoring_ms_p95,sparse_scoring_ms_p99,dense_scoring_ms_p50,dense_scoring_ms_p95,dense_scoring_ms_p99,zscore_fusion_ms_p50,zscore_fusion_ms_p95,zscore_fusion_ms_p99,retrieval_after_dense_ms_p50,retrieval_after_dense_ms_p95,retrieval_after_dense_ms_p99,end_to_end_attempt_ms_p50,end_to_end_attempt_ms_p95,end_to_end_attempt_ms_p99,time_to_top10_ms_p50_hits_only,time_to_top10_ms_p95_hits_only,time_to_top10_ms_p99_hits_only
neo4j-materialized,1,750,559,0.7453,1.0,559,0.2547,0.7227,0.744,0.7453,0.7453,0.7453,3.8384,5.6676,6.4388,5.0351,7.1132,7.7728,24.9937,30.164,32.0147,27.4333,32.7716,34.997,3.8384,5.6676,6.4388,1.2068,1.5886,1.7175,19.9533,24.2849,26.511,2.3257,2.9263,3.4811,12.2559,14.7755,17.1943,0.6262,0.7588,0.8373,0.4053,0.5018,0.5578,0.3574,0.4227,0.5417,13.6215,16.4454,18.9468,41.1875,48.7044,53.0898,41.2321,48.7643,53.4893
neo4j-materialized,8,750,559,0.7453,1.0,559,0.2547,0.0,0.0,0.096,0.7253,0.7453,4.0419,5.5994,7.5241,6.2572,8.5439,11.84,34.426,69.4264,85.8424,87.6702,129.2737,160.6994,4.0419,5.5994,7.5241,2.1168,3.4795,4.8964,28.237,62.0773,78.8188,51.7129,78.5476,104.2308,238.1626,312.7812,448.0029,3.2128,7.088,9.4073,0.5282,0.9266,1.4029,0.3655,0.4614,0.8574,243.2717,316.6437,456.2468,335.5201,420.0652,585.034,335.2709,416.8045,602.5778
neo4j-materialized,16,750,559,0.7453,1.0,559,0.2547,0.0,0.0,0.0,0.064,0.5147,5.0793,31.82,36.6221,8.9636,44.9379,60.8092,42.7036,168.3597,267.4241,165.7186,589.9253,699.8835,5.0793,31.82,36.6221,4.1181,15.522,29.6069,34.1676,123.6612,224.5926,119.94,422.0674,508.1039,542.6887,1982.4299,2215.2757,7.3515,26.6328,43.2613,0.7283,2.7842,4.1151,0.3851,1.4097,2.3932,550.2323,2008.4415,2249.0,715.3479,2591.1258,2817.4991,723.4595,2583.977,2808.3568
neo4j-materialized,32,750,559,0.7453,1.0,559,0.2547,0.0,0.0,0.0,0.0,0.108,5.7406,9.051,37.2317,11.8768,18.3649,57.2386,51.0862,97.1021,115.4404,283.2307,367.5717,408.06,5.7406,9.051,37.2317,5.962,10.1266,17.2675,38.8918,82.4518,101.1467,229.1637,299.3169,336.3217,1042.4768,1261.0355,1332.6367,11.2887,23.4634,37.4862,0.7682,1.8368,2.9321,0.371,0.4618,0.7567,1058.7982,1282.6433,1349.074,1349.8166,1613.1197,1705.1028,1358.9375,1617.0587,1700.9195
neo4j-materialized,64,750,559,0.7453,1.0,559,0.2547,0.0,0.0,0.0,0.0,0.0,9.0743,17.0967,32.7693,20.7359,39.6973,60.788,77.2173,139.8819,184.3595,554.1545,707.3891,932.3569,9.0743,17.0967,32.7693,11.4611,21.8826,37.8817,55.1072,117.9543,145.2226,468.8699,599.1351,742.7598,2112.7422,2611.2202,3336.7902,20.9041,46.8853,65.1228,1.0351,3.4622,5.4811,0.3758,0.5108,1.0383,2138.469,2640.2727,3373.384,2707.1783,3297.1364,4124.7556,2730.6524,3286.0775,4271.6623
neo4j-native,1,750,559,0.7453,1.0,559,0.2547,0.7093,0.744,0.7453,0.7453,0.7453,4.0583,5.7567,8.1009,5.304,7.206,9.363,25.2411,30.5804,35.5548,27.6059,33.2546,38.1975,4.0583,5.7567,8.1009,1.2143,1.6304,1.8922,19.8694,24.6879,29.3647,2.3192,2.8026,3.1866,12.2838,14.645,15.8863,0.6194,0.7615,0.842,0.398,0.5099,0.5519,0.3521,0.4178,0.5129,13.6639,16.3066,17.4811,41.2677,49.1841,55.0543,41.2295,49.9274,57.5009
neo4j-native,8,750,559,0.7453,1.0,559,0.2547,0.0,0.0,0.0933,0.744,0.7453,4.1559,5.7343,6.8293,6.3674,8.969,11.9716,34.2447,71.0328,86.7092,86.4879,122.0452,144.4534,4.1559,5.7343,6.8293,2.1304,3.7911,5.321,27.6728,62.7352,78.7258,51.0364,74.1016,90.6475,239.8881,315.7112,352.7559,3.3155,7.1556,9.7818,0.5287,0.8347,1.3603,0.3684,0.4638,0.8134,245.072,320.8221,356.1112,334.6468,423.0073,466.1987,335.5135,424.9302,451.9901
neo4j-native,16,750,559,0.7453,1.0,559,0.2547,0.0,0.0,0.0,0.0693,0.52,5.1673,30.6083,36.4032,8.9924,42.1196,53.1112,42.4875,159.3224,245.0153,163.8434,563.1638,663.5891,5.1673,30.6083,36.4032,3.9035,13.6069,20.9228,33.6515,125.6398,217.7644,119.796,400.1063,484.2429,535.7344,1930.7374,2257.553,7.2748,26.9616,40.9223,0.6953,2.6854,4.394,0.3785,1.4367,2.3201,543.212,1960.4825,2286.0639,706.2215,2573.2236,2866.4251,708.0521,2585.2134,2900.5539
neo4j-native,32,750,559,0.7453,1.0,559,0.2547,0.0,0.0,0.0,0.0,0.0947,5.8717,9.9084,19.771,12.4855,20.7909,39.7356,52.7979,102.6313,130.691,288.1096,367.2008,417.4418,5.8717,9.9084,19.771,6.3584,11.5907,30.7603,39.5555,87.5794,112.1787,233.1874,295.5936,326.7936,1061.2567,1304.9865,1576.43,11.382,25.1604,35.7423,0.7607,2.1047,2.9336,0.3779,0.4996,0.841,1076.0424,1318.2827,1594.5129,1376.4511,1653.2546,1926.7594,1384.678,1655.3485,1948.1237
neo4j-native,64,750,559,0.7453,1.0,559,0.2547,0.0,0.0,0.0,0.0,0.0,9.4635,18.8682,37.3335,21.8269,43.0139,81.6017,80.0598,148.8878,184.7829,572.8276,722.5318,804.8226,9.4635,18.8682,37.3335,12.0802,22.3784,50.7322,56.9128,123.8972,150.117,481.7415,604.1628,664.2363,2152.5246,2839.4573,3216.2987,22.1472,50.3901,75.0071,1.0593,4.1292,6.5327,0.3843,0.5047,0.93,2177.7853,2872.9066,3267.1514,2755.0977,3526.362,3964.8974,2766.8794,3567.3101,3968.1638
