cell,concurrency,repetitions,measured_operations_per_rep,reads_per_rep,updates_per_rep,throughput_ops_s_median,throughput_ops_s_min,throughput_ops_s_max,latency_p50_ms_median,latency_p50_ms_min,latency_p50_ms_max,latency_p95_ms_median,latency_p95_ms_min,latency_p95_ms_max,latency_p99_ms_median,latency_p99_ms_min,latency_p99_ms_max,read_p50_ms_median,read_p50_ms_min,read_p50_ms_max,read_p95_ms_median,read_p95_ms_min,read_p95_ms_max,read_p99_ms_median,read_p99_ms_min,read_p99_ms_max,update_p50_ms_median,update_p50_ms_min,update_p50_ms_max,update_p95_ms_median,update_p95_ms_min,update_p95_ms_max,update_p99_ms_median,update_p99_ms_min,update_p99_ms_max,fresh_hit_at_10_median,fresh_hit_at_10_min,fresh_hit_at_10_max,error_rate_median,error_rate_min,error_rate_max,status
neo4j-native,1,3,5000,4750,250,64.09870823656183,62.729021540534724,64.61029031862324,13.11045,13.0067,13.346,48.52188000000052,48.16060000000004,48.544620000000194,78.343191,77.55637800000001,80.68415300000002,13.0079,12.90935,13.2624,15.34064,15.09402,15.71922,17.26567000000003,16.721496000000005,17.49344800000001,72.24955,72.23304999999999,74.3409,86.75889999999998,86.46143,87.31492499999997,94.122171,91.583195,98.809488,0.764,0.7,0.772,0.0,0.0,0.0,PASS
neo4j-native,8,3,5000,4750,250,32.517561559489835,32.084823093432995,32.96825100985923,251.29055,246.8415,253.56225,330.64891,325.63527500000004,337.32984000000005,409.355741,405.56565200000045,428.77901400000013,249.61975,245.0385,252.0713,304.430175,302.789775,310.69415,334.1047360000004,326.54949200000004,345.87794600000007,374.1652,371.34975,382.11760000000004,443.19152499999996,438.96288499999997,467.47538000000003,474.3298999999999,465.071288,484.29509699999994,0.764,0.7,0.772,0.0,0.0,0.0,PASS
neo4j-native,16,3,5000,4750,250,31.544170703844987,27.51181178508697,32.0942783445198,522.7046499999999,515.47825,559.4287999999999,650.601975,639.6622900000001,883.1087000000001,794.6858920000002,781.2915620000006,1155.7908670000002,519.60415,512.49225,553.9382499999999,619.919075,610.761665,833.54773,656.619583,648.7271790000001,1119.623348,721.91875,714.0576,814.62955,843.637665,835.1696049999999,1114.003375,900.1889769999999,876.1440879999999,1413.9384549999968,0.764,0.7,0.772,0.0,0.0,0.0,PASS
neo4j-native,32,3,5000,4750,250,28.83249145918305,27.598668810884103,29.092740304357104,1146.1410500000002,1142.6407,1189.30765,1416.0772550000002,1392.6108050000003,1557.536425,1776.9427960000005,1735.362541000001,1839.6465470000014,1138.9003,1134.46975,1179.30775,1342.92725,1318.6803149999998,1432.0575150000002,1449.9649500000003,1407.1425490000004,1594.6357510000005,1660.1993,1631.1739499999999,1685.26875,1889.0834849999999,1827.686035,2021.72076,2003.9481449999994,1899.491396,2221.4415439999993,0.764,0.7,0.772,0.0,0.0,0.0,PASS
neo4j-native,64,3,5000,4750,250,28.088389503589703,28.057093422049476,28.216569925836122,2374.94805,2366.7806,2375.6892500000004,2858.4839150000003,2809.343375,3006.1503800000005,3497.558592000002,3496.203723000001,3532.697496000001,2362.4856,2352.5249999999996,2363.9013,2722.607345,2705.988075,2725.035765,2886.977127000001,2819.5434560000003,3320.1817370000012,3258.5725,3257.18015,3260.94575,3681.443465,3664.99075,3724.30757,3876.653253,3783.765743,4216.046646999999,0.764,0.7,0.772,0.0,0.0,0.0,PASS
neo4j-materialized,1,3,5000,4750,250,61.60763838608826,60.774994759495435,61.83848351823692,13.3875,13.3544,13.50965,47.33823000000013,46.87662000000015,48.130085,76.951625,76.62057000000006,77.72269900000003,13.29175,13.26785,13.4129,18.43024,17.928035,18.947355000000005,26.43664600000001,24.746398000000006,26.888854000000013,70.7407,69.6515,71.42105000000001,87.12098499999999,85.43485499999998,88.76246499999999,102.06131999999995,99.3882739999999,104.39300699999998,0.764,0.7,0.772,0.0,0.0,0.0,PASS
neo4j-materialized,8,3,5000,4750,250,30.2826864676738,30.074873762118873,30.334468394543205,266.05215,265.14555,268.627,371.16981000000004,366.78533000000004,372.04904500000026,468.30941100000007,464.3205350000001,473.67620400000004,264.2293,262.9762,266.2928,337.9853750000001,335.40808499999997,338.92661,374.5752820000001,373.418219,378.0250780000001,427.50125,426.95984999999996,428.15920000000006,516.91774,511.632595,517.07567,556.212172,554.4860239999999,598.823427,0.764,0.7,0.772,0.0,0.0,0.0,PASS
neo4j-materialized,16,3,5000,4750,250,29.34192712214077,28.93514241877472,29.470931223504135,559.0925,556.80265,561.12375,711.0338150000001,705.1848100000001,752.9603050000002,925.6765240000001,901.9113629999999,928.2082570000008,555.20535,552.11865,556.6357,668.7704600000001,667.04228,690.10574,715.9838970000003,712.555518,764.2968360000004,846.5414000000001,831.8242,856.83685,984.687115,974.3337499999999,988.2595200000001,1036.338685,1033.580127,1059.463172,0.764,0.7,0.772,0.0,0.0,0.0,PASS
neo4j-materialized,32,3,5000,4750,250,28.17435587888952,27.492011000301737,29.624144203649678,1150.8296,1120.1282,1192.83975,1538.1449750000002,1364.854575,1559.8369300000002,1819.8939350000003,1731.6134490000004,1959.4477020000013,1143.2431,1111.94135,1186.182,1418.43049,1296.805695,1441.2453050000001,1553.9691570000005,1376.4616850000002,1870.7726470000002,1676.6748,1626.6239500000001,1699.8592,1958.120605,1834.0070899999998,1970.16807,2074.84233,1893.6658380000001,2289.0704639999994,0.764,0.7,0.772,0.0,0.0,0.0,PASS
neo4j-materialized,64,3,5000,4750,250,30.557891507738546,30.376737745024265,32.091713269390745,2191.1243,2107.32375,2199.02145,2563.40472,2446.16654,2653.283225,3048.6250510000013,2882.315329000001,3174.956717000001,2179.4413,2095.25535,2188.50995,2498.559125,2360.50789,2552.7855950000003,2594.949332,2469.9302350000003,2679.6817930000007,2838.55985,2684.5432499999997,2900.40355,3195.30557,3039.668425,3513.5486849999998,3328.3372439999994,3126.892395,3731.183345,0.764,0.7,0.772,0.0,0.0,0.0,PASS
