alpha_dense,split,category,n,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10
0.1,test,4,612,0.5078697219628592,0.39869281045751637,0.6568627450980392,0.7303921568627451,0.7254901960784313,0.5578779759733052
0.2,dev,1,58,0.33886152162014227,0.22413793103448276,0.5,0.6551724137931034,0.351327312534209,0.2777342459452472
0.2,dev,2,82,0.5994918699186992,0.5365853658536586,0.6951219512195121,0.7195121951219512,0.7032520325203253,0.6210865637769653
0.2,dev,3,21,0.314021164021164,0.23809523809523808,0.47619047619047616,0.5238095238095238,0.42857142857142855,0.3269631558797717
0.2,dev,4,229,0.48457752824565037,0.37554585152838427,0.6200873362445415,0.7161572052401747,0.7001455604075691,0.5287005126147373
0.2,test,1,224,0.3139898667800455,0.19196428571428573,0.4732142857142857,0.5848214285714286,0.3513125345832112,0.26610335995572504
0.2,test,2,239,0.6109218303778973,0.5271966527196653,0.694560669456067,0.7782426778242678,0.7388423988842396,0.6280968752798731
0.2,test,3,71,0.2609154929577465,0.18309859154929578,0.352112676056338,0.4788732394366197,0.32722628103738294,0.23882424624203635
0.2,test,4,612,0.5234366894906111,0.40522875816993464,0.6813725490196079,0.7663398692810458,0.7606209150326797,0.5777492758794046
0.3,dev,1,58,0.35423508483853305,0.20689655172413793,0.5517241379310345,0.6896551724137931,0.381663929939792,0.2992291983619982
0.3,dev,2,82,0.5921070460704607,0.5121951219512195,0.6951219512195121,0.7439024390243902,0.7276422764227642,0.6224268158744005
0.3,dev,3,21,0.319501133786848,0.23809523809523808,0.47619047619047616,0.5238095238095238,0.42857142857142855,0.33180252633672214
0.3,dev,4,229,0.5023653566229985,0.37554585152838427,0.6768558951965066,0.7903930131004366,0.7590975254730714,0.5558851561137957
0.3,test,1,224,0.3525917658730159,0.23214285714285715,0.5133928571428571,0.6383928571428571,0.39202030543078464,0.2995320440153749
0.3,test,2,239,0.6261406654712094,0.5481171548117155,0.7196652719665272,0.7824267782426778,0.7472105997210597,0.6412787460352406
0.3,test,3,71,0.2824726134585289,0.2112676056338028,0.39436619718309857,0.49295774647887325,0.3413107880796365,0.25827193754042804
0.3,test,4,612,0.5436799719887953,0.4215686274509804,0.7107843137254902,0.7908496732026143,0.7867647058823529,0.5999712421216563
0.4,dev,1,58,0.4045703338806786,0.25862068965517243,0.6206896551724138,0.7413793103448276,0.4159003831417624,0.33398176111784916
0.4,dev,2,82,0.6092915214866436,0.524390243902439,0.7195121951219512,0.7804878048780488,0.7642276422764228,0.6444353194546952
0.4,dev,3,21,0.32063492063492066,0.23809523809523808,0.5238095238095238,0.5238095238095238,0.4523809523809524,0.3428538138469111
0.4,dev,4,229,0.5118007901850697,0.37554585152838427,0.7292576419213974,0.7991266375545851,0.7692867540029112,0.566225183851565
0.4,test,1,224,0.38188421201814043,0.24107142857142858,0.5803571428571429,0.6919642857142857,0.43312057029749684,0.3296795169569462
0.4,test,2,239,0.637369661951252,0.5564853556485355,0.7364016736401674,0.799163179916318,0.7737099023709901,0.6564492129765886
0.4,test,3,71,0.28954840152023253,0.2112676056338028,0.39436619718309857,0.49295774647887325,0.3713753106876554,0.2716422442668258
0.4,test,4,612,0.5599763979665938,0.42810457516339867,0.7238562091503268,0.8300653594771242,0.8251633986928104,0.6213102878074241
0.5,dev,1,58,0.43986726874657894,0.29310344827586204,0.6206896551724138,0.7586206896551724,0.4192802408319649,0.3494089248609193
0.5,dev,2,82,0.6239111498257841,0.5487804878048781,0.7317073170731707,0.7804878048780488,0.7642276422764228,0.6563720794305214
0.5,dev,3,21,0.326984126984127,0.23809523809523808,0.5238095238095238,0.5238095238095238,0.4523809523809524,0.34744995643823834
0.5,dev,4,229,0.536624038261593,0.4104803493449782,0.7336244541484717,0.8034934497816594,0.7714701601164484,0.5853979957060645
0.5,test,1,224,0.4263906604308391,0.2767857142857143,0.6160714285714286,0.7589285714285714,0.46082602000130185,0.36097637348258377
0.5,test,2,239,0.6545327754532775,0.5732217573221757,0.7573221757322176,0.8075313807531381,0.7838214783821478,0.6735624722493008
0.5,test,3,71,0.3031298904538341,0.22535211267605634,0.4507042253521127,0.5070422535211268,0.37841756420878214,0.28398806534694193
0.5,test,4,612,0.5732674551302003,0.4362745098039216,0.7450980392156863,0.8447712418300654,0.8415032679738562,0.6360394908237337
0.6,dev,1,58,0.46410098522167476,0.3103448275862069,0.6551724137931034,0.7586206896551724,0.42167487684729055,0.3568839357438368
0.6,dev,2,82,0.6122967479674798,0.5365853658536586,0.7317073170731707,0.7682926829268293,0.7520325203252033,0.645058127782121
0.6,dev,3,21,0.3365079365079365,0.23809523809523808,0.5238095238095238,0.5238095238095238,0.42857142857142855,0.3426670787923101
0.6,dev,4,229,0.5486397033340265,0.43231441048034935,0.7336244541484717,0.7729257641921398,0.745269286754003,0.585001921461031
0.6,test,1,224,0.449516369047619,0.29910714285714285,0.6383928571428571,0.78125,0.4840470697848517,0.38217852625122284
0.6,test,2,239,0.6417065152420798,0.5523012552301255,0.7656903765690377,0.8200836820083682,0.799163179916318,0.6689466957055761
0.6,test,3,71,0.3110719874804382,0.22535211267605634,0.39436619718309857,0.5211267605633803,0.39250207125103564,0.2970786990880725
0.6,test,4,612,0.5783509700176366,0.44281045751633985,0.7581699346405228,0.8545751633986928,0.8502178649237473,0.6419917180345237
