group,method,display_method,scope,comparable,evaluation_split,category,category_label,n,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10
Textual Retrieval Baselines,Dense-bge,Dense-bge,sample-scoped,True,test,2,Temporal,239,0.5896294082486552,0.49372384937238495,0.7322175732217573,0.7782426778242678,0.7524407252440726,0.6177213485591131
Textual Retrieval Baselines,Dense-bge,Dense-bge,sample-scoped,True,test,3,Open-Domain,71,0.27568186899172814,0.2112676056338028,0.39436619718309857,0.4788732394366197,0.35729080364540183,0.26432325869865375
Textual Retrieval Baselines,Dense-bge,Dense-bge,sample-scoped,True,all,4,Single-Hop,841,0.5020440518656928,0.3876337693222354,0.6563614744351962,0.7479191438763377,0.7380103051922314,0.5552647381742495
Textual Retrieval Baselines,Dense-bge,Dense-bge,sample-scoped,True,all,1,Multi-Hop,282,0.42551221434200154,0.28368794326241137,0.6312056737588653,0.74822695035461,0.47216054185539064,0.36400972012851496
Textual Retrieval Baselines,Dense-bge,Dense-bge,sample-scoped,True,all,2,Temporal,321,0.5703938584779706,0.4766355140186916,0.7040498442367601,0.7538940809968847,0.7315680166147456,0.6005796789344945
Textual Retrieval Baselines,Dense-bge,Dense-bge,sample-scoped,True,all,3,Open-Domain,92,0.26523033126293993,0.1956521739130435,0.3804347826086957,0.4891304347826087,0.3735613810741688,0.26335625295531934
KG / Structured Retrieval Baselines,Dense+GlobalKG,Dense+GlobalKG,sample-scoped,True,test,4,Single-Hop,612,0.5365967683369645,0.42320261437908496,0.684640522875817,0.7908496732026143,0.7859477124183006,0.5939212772911006
KG / Structured Retrieval Baselines,Dense+GlobalKG,Dense+GlobalKG,sample-scoped,True,test,1,Multi-Hop,224,0.4637436224489796,0.32589285714285715,0.6607142857142857,0.7946428571428571,0.5218055538603001,0.40320009877080304
KG / Structured Retrieval Baselines,Dense+GlobalKG,Dense+GlobalKG,sample-scoped,True,test,2,Temporal,239,0.6095337716676629,0.5062761506276151,0.7573221757322176,0.799163179916318,0.7684797768479776,0.6368105869625675
KG / Structured Retrieval Baselines,Dense+GlobalKG,Dense+GlobalKG,sample-scoped,True,test,3,Open-Domain,71,0.3097417840375587,0.23943661971830985,0.4084507042253521,0.5352112676056338,0.3948494890914112,0.2920402012089126
KG / Structured Retrieval Baselines,Dense+GlobalKG,Dense+GlobalKG,sample-scoped,True,all,4,Single-Hop,841,0.5266835588773757,0.4161712247324614,0.6753864447086801,0.7717003567181926,0.762584225128815,0.5789149691673866
KG / Structured Retrieval Baselines,Dense+GlobalKG,Dense+GlobalKG,sample-scoped,True,all,1,Multi-Hop,282,0.46391984689857035,0.3262411347517731,0.648936170212766,0.7836879432624113,0.5079488897937946,0.39649825679750333
KG / Structured Retrieval Baselines,Dense+GlobalKG,Dense+GlobalKG,sample-scoped,True,all,2,Temporal,321,0.5907345596597933,0.48909657320872274,0.7320872274143302,0.7757009345794392,0.7512980269989615,0.6208341719437053
KG / Structured Retrieval Baselines,Dense+GlobalKG,Dense+GlobalKG,sample-scoped,True,all,3,Open-Domain,92,0.3086309523809524,0.2391304347826087,0.41304347826086957,0.532608695652174,0.4025468883205456,0.2977328573040091
KG / Structured Retrieval Baselines,RRF_compact,RRF_compact,sample-scoped,True,test,4,Single-Hop,612,0.5432753657018363,0.41013071895424835,0.7271241830065359,0.8333333333333334,0.8289760348583878,0.6102654836730059
KG / Structured Retrieval Baselines,RRF_compact,RRF_compact,sample-scoped,True,test,1,Multi-Hop,224,0.4365274234693878,0.2857142857142857,0.6428571428571429,0.7633928571428571,0.4781911658203951,0.36993251919215836
KG / Structured Retrieval Baselines,RRF_compact,RRF_compact,sample-scoped,True,test,2,Temporal,239,0.6268280533970911,0.5313807531380753,0.7573221757322176,0.8158995815899581,0.7880055788005579,0.6544403039268128
KG / Structured Retrieval Baselines,RRF_compact,RRF_compact,sample-scoped,True,test,3,Open-Domain,71,0.2754694835680751,0.18309859154929578,0.39436619718309857,0.5211267605633803,0.3831123998895333,0.2697848722883218
KG / Structured Retrieval Baselines,RRF_compact,RRF_compact,sample-scoped,True,all,4,Single-Hop,841,0.5367665100126456,0.40784780023781214,0.718192627824019,0.8180737217598097,0.8083630598493857,0.5984537461695724
KG / Structured Retrieval Baselines,RRF_compact,RRF_compact,sample-scoped,True,all,1,Multi-Hop,282,0.439667060677699,0.29432624113475175,0.6312056737588653,0.7553191489361702,0.46387953011693217,0.3645959799720194
KG / Structured Retrieval Baselines,RRF_compact,RRF_compact,sample-scoped,True,all,2,Temporal,321,0.6139457548336053,0.5202492211838006,0.735202492211838,0.8068535825545171,0.7819314641744548,0.6451011789901611
KG / Structured Retrieval Baselines,RRF_compact,RRF_compact,sample-scoped,True,all,3,Open-Domain,92,0.29230072463768114,0.1956521739130435,0.42391304347826086,0.5217391304347826,0.3934889173060529,0.2893485273956423
Ablation,ZScore-Raw,ZScore-Raw,sample-scoped,True,test,4,Single-Hop,612,0.5371206816059757,0.3937908496732026,0.7271241830065359,0.826797385620915,0.8216230936819172,0.6041710827258711
Ablation,ZScore-Raw,ZScore-Raw,sample-scoped,True,test,1,Multi-Hop,224,0.4150191326530612,0.26785714285714285,0.6160714285714286,0.7366071428571429,0.45582866968557756,0.3551885923246187
