op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,edge_count,logical_mutations,commit_ms,graph_visible_ms,relation_candidates_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,graph_projection_ok,relation_candidate_ok,candidate_count
r2_measured_01797,cassandra-base,8,2,lr000008::conv-26_qa_63,lr000008::conv-26,lr000008::conv-26_session_15_D15:11,1,9,3.0206,25.4802,30.2389,55.3853,62.1286,6.5067,1.8466,0.3537,0.4574,71.3472,1,1,1,419
r2_measured_01804,cassandra-base,8,2,lr000012::conv-49_qa_151,lr000012::conv-49,lr000012::conv-49_session_24_D24:18,1,10,5.0055,47.43,54.9118,118.87,165.0179,10.4815,7.4446,2.9131,0.4387,186.3613,1,1,1,507
r2_measured_01805,cassandra-base,8,2,lr000012::conv-41_qa_10,lr000012::conv-41,lr000012::conv-41_session_7_D7:1,1,14,15.8158,50.0644,77.9571,118.7377,163.1648,8.7815,2.898,0.4815,0.4098,,0,1,1,662
r2_measured_01815,cassandra-base,8,2,lr000000::conv-49_qa_128,lr000000::conv-49,lr000000::conv-49_session_17_D17:18,1,18,13.1741,74.7846,80.9622,105.3648,112.9844,10.7187,7.1284,0.8374,0.4036,132.1352,1,1,1,508
r2_measured_01824,cassandra-base,8,2,lr000001::conv-44_qa_110,lr000001::conv-44,lr000001::conv-44_session_24_D24:8,1,9,15.9192,50.3656,60.6947,91.6044,297.6796,12.1842,12.1878,2.001,0.385,324.5045,1,1,1,675
r2_measured_01837,cassandra-base,8,2,lr000007::conv-48_qa_8,lr000007::conv-48,lr000007::conv-48_session_1_D1:15,1,8,12.5644,38.9591,45.2657,153.976,220.9032,12.1143,14.7652,0.4763,0.3584,248.6826,1,1,1,680
r2_measured_01846,cassandra-base,8,2,lr000002::conv-49_qa_102,lr000002::conv-49,lr000002::conv-49_session_7_D7:4,1,12,4.3418,122.2409,128.5323,160.4504,182.1562,12.2042,12.1499,0.3529,0.3824,207.3053,1,1,1,509
r2_measured_01883,cassandra-base,8,2,lr000010::conv-43_qa_47,lr000010::conv-43,lr000010::conv-43_session_12_D12:2,0,2,6.1386,38.3053,38.3105,91.4007,245.0197,6.2435,10.2124,1.5703,0.385,263.5032,1,1,1,679
r2_measured_02044,cassandra-base,8,2,lr000001::conv-48_qa_146,lr000001::conv-48,lr000001::conv-48_session_16_D16:15,1,18,8.6484,37.742,42.5758,76.1154,273.3583,19.8062,12.3617,1.6418,0.3387,307.5749,1,1,1,678
r2_measured_02088,cassandra-base,8,2,lr000000::conv-49_qa_0,lr000000::conv-49,lr000000::conv-49_session_1_D1:2,1,9,7.6034,25.6781,32.9712,95.8366,220.0904,4.0994,2.5628,0.8728,0.3332,228.0119,1,1,1,509
