op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,edge_count,logical_mutations,commit_ms,graph_visible_ms,relation_candidates_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,graph_projection_ok,relation_candidate_ok,candidate_count
r2_measured_04815,neo4j-native,32,2,lr000003::conv-50_qa_36,lr000003::conv-50,lr000003::conv-50_session_18_D18:1,1,9,5.819,55.2018,78.4529,168.9525,385.114,1070.6037,5.148,0.5284,0.4246,1461.934,1,1,1,568
r2_measured_04830,neo4j-native,32,2,lr000012::conv-50_qa_128,lr000012::conv-50,lr000012::conv-50_session_24_D24:20,1,15,11.2092,62.1274,112.0569,153.1398,388.7967,1035.6729,12.7621,0.8257,0.3601,1438.4924,1,1,1,568
r2_measured_04853,neo4j-native,32,2,lr000006::conv-48_qa_114,lr000006::conv-48,lr000006::conv-48_session_7_D7:9,1,13,11.6491,49.392,77.7062,125.6772,393.778,1234.9011,9.3613,0.4892,0.3679,1638.9823,1,1,1,681
r2_measured_04884,neo4j-native,32,2,lr000005::conv-48_qa_117,lr000005::conv-48,lr000005::conv-48_session_8_D8:22,0,3,5.6611,35.3546,35.3591,75.5596,307.6222,1461.0838,22.6009,1.3978,0.4769,,0,1,1,681
r2_measured_04905,neo4j-native,32,2,lr000012::conv-42_qa_98,lr000012::conv-42,lr000012::conv-42_session_2_D2:5,0,3,12.3911,51.2003,51.2059,94.2625,335.014,1314.4326,4.8157,1.0042,0.3615,,0,1,1,629
r2_measured_04916,neo4j-native,32,2,lr000016::conv-48_qa_111,lr000016::conv-48,lr000016::conv-48_session_5_D5:9,1,8,6.8744,62.9248,106.0511,150.1051,546.112,1236.4599,27.5782,1.0613,0.4439,1811.7529,1,1,1,681
r2_measured_04922,neo4j-native,32,2,lr000009::conv-44_qa_38,lr000009::conv-44,lr000009::conv-44_session_25_D25:1,1,17,10.4489,59.9873,82.8623,125.7824,507.2764,1116.9306,13.9637,0.7683,0.4057,1639.4284,1,1,1,675
r2_measured_04924,neo4j-native,32,2,lr000010::conv-42_qa_43,lr000010::conv-42,lr000010::conv-42_session_17_D17:14,1,8,36.4308,72.5807,114.633,233.3838,549.7266,1097.573,16.9721,1.048,0.358,1665.7615,1,1,1,629
r2_measured_04932,neo4j-native,32,2,lr000004::conv-47_qa_70,lr000004::conv-47,lr000004::conv-47_session_2_D2:12,1,8,9.4995,54.3929,76.2583,123.99,390.3969,1144.3233,10.7404,1.1425,0.4538,1547.1516,1,1,1,689
r2_measured_04933,neo4j-native,32,2,lr000016::conv-49_qa_8,lr000016::conv-49,lr000016::conv-49_session_1_D1:14,1,13,7.006,77.1665,129.9627,161.6449,335.5748,879.2384,16.8015,0.6086,0.3476,1232.6526,1,1,1,509
r2_measured_04959,neo4j-native,32,2,lr000003::conv-49_qa_76,lr000003::conv-49,lr000003::conv-49_session_20_D20:13,0,3,10.1777,42.6745,42.6793,80.0684,270.7999,855.1745,8.1617,1.1468,0.3576,,0,1,1,509
r2_measured_04997,neo4j-native,32,2,lr000008::conv-49_qa_65,lr000008::conv-49,lr000008::conv-49_session_16_D16:16,0,3,7.9962,41.1141,41.1192,75.0136,236.6301,406.6992,0.9361,0.5036,0.427,,0,1,1,509
